@RELATION ClassificationSet

@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC

@DATA
300.0073852093024,461.63489203767364,160.71478453023255,615.7643517089487,39.448180830232566,621.3421849374748,36.12294909581395,389.18977571316725
298.4773685648147,741.632675043965,158.4507817685185,782.7394831897919,34.12441995601852,587.7447040202039,29.464055658796287,355.7499751555088
312.6887545833334,1353.8461191093984,168.29572412962966,967.7708588543284,30.436915532407436,524.4573583931799,25.646054218055546,343.21577766609295
315.54999976958555,1031.8968206656175,171.1683845345622,846.2570192246951,28.190882040092173,373.21547469290755,24.255334524884788,280.2992369147891
312.0662337500001,1127.770474543598,170.36661193981476,955.7494342022763,29.658616726851847,445.0379880902686,26.58973617546296,284.68876102260924
314.9644693981482,1093.5978739958966,172.55022016666678,904.5316016303573,29.086194247222213,324.92226184263194,26.223503173611107,279.0359408494046
308.5030294470046,547.0314712828687,167.67049147926267,554.176865485402,29.43590143594469,403.65391458169734,27.432370913364053,370.73540139265003
319.6782765740741,1090.8383621043797,173.62624171296306,863.9506476065716,21.769580066666677,262.5522718177876,19.097009319444442,249.70304004919439
333.04812662037034,1730.720405893058,183.8844552314814,1329.320532977001,21.473763030092602,196.16295838811874,19.779678119444444,240.14549066118437
320.2123952073734,1713.6598148965384,176.37181388940087,1275.1783365015299,24.13044845622121,212.82826599764778,23.81675019631336,251.30183354501543
307.09431546296315,876.6887575917161,165.68831061574073,835.0159724227801,21.161074794907396,136.80082619124892,19.819056562500005,144.36636605968047
306.5486598181819,620.190941614771,163.00799262727264,662.1501674353148,20.919472818181806,169.76365631930213,19.510843876363634,141.81532963582117
303.8728951627909,2615.9653985282894,158.21304183720937,799.8179852603411,14.72216473116279,165.62445882083983,17.63643181813954,288.6543974324187
304.3599883333333,515.3785363233599,147.99878096759255,606.077545764389,13.103805543055547,154.35330528231168,14.303109950000005,224.74702031140103
307.4836343518521,645.2120945298996,152.4650796944444,760.001643229602,13.241665501851852,101.36165429240545,14.853884526851845,191.37479657422944
307.1840188018434,685.021418774229,168.41199474654385,845.8171219878936,14.739424785253458,106.59771256875142,19.37712749308756,160.34471060911486
305.8964500000001,652.0615390314125,170.2708611574075,854.4904952770717,11.39338644074074,64.09740403316687,15.909376407037032,115.20731169094203
299.16078361111147,760.8935552648094,162.86701330092598,952.1532174170287,12.214397441666666,77.08603550688585,15.380374764444449,158.8630006877718
292.3685295391707,751.7469735554791,156.6129253364055,834.2635073327169,12.65137327050691,45.439556509938356,13.96464016009217,123.10099556608421
308.5081004166667,1217.4493948491245,165.75942611111114,894.1965752217401,13.770072060648154,114.09768673612191,12.865611005277769,75.65495750988401
319.6186113425928,944.3482320211187,172.62917279166675,1022.5448349849897,15.403060475925924,150.53288898176655,15.43589010694445,123.28415366350295
306.8072489400925,654.1713466861235,163.0398861474655,755.3886417047923,12.510865115668196,73.55552796402935,14.262385106451612,132.7119435516385
302.5533998148149,526.5067995839773,162.92213201851857,663.1908992552991,11.375976416666672,45.649114593067004,14.74745102731481,124.0605245826716
305.35360490909096,604.6184947718027,168.02507299999996,845.6579557474971,12.139267096363639,58.32906726004092,16.286610434545455,110.98477350441692
287.63423906976766,433.6996829976661,151.63122625581394,482.1710214543637,12.029517621395348,17.38491449524241,12.089348376279064,55.46050880195928
287.57721986111136,378.40200368106315,149.95072168518521,469.5496061732377,11.37083569861111,15.80925177450722,9.159637772222228,17.175917438359985
288.5267487037037,413.1543012148873,151.72967999074078,517.5011272005669,11.42954214027778,12.76364017967051,10.064382549537038,20.445257569932966
296.5837322580646,502.413299533562,158.5157497004608,505.3621173054999,12.360652269585255,15.63248822291639,12.093347487557601,21.30328100598177
295.3203534722225,511.8050393751979,155.74784812962966,570.6106391549673,14.220843882870373,26.91196610807044,12.789949878240744,20.91761660609888
292.6050534259259,418.1787026257109,153.8961697222221,593.6751440541245,14.233382693518523,26.96433633973787,13.305991556944436,25.546092361470688
297.3845913824885,480.53251962183157,156.3865179078341,550.3588006183356,13.268474809216588,26.077247993675027,13.914863850691257,47.50111913550944
298.1920136574073,542.5943945097623,156.81083711111103,580.2020680090568,14.026758672222225,23.480316175037913,14.15135982824074,49.41926979143076
295.43042069444465,465.36623250863704,155.68907074537037,561.4217768168347,14.541132412962959,14.32177061285012,12.223518254166667,20.531624559367692
298.2439557142857,565.9168113637753,159.33995841935473,596.3040759302515,14.226471692165902,17.483412832358265,12.831359611520726,24.864707512134025
303.03280611111137,554.308881032349,165.0789656018518,618.9431845819161,13.886545061574068,34.89407766536896,15.83283456064815,49.60983241478201
302.5703151818183,459.9430856794264,165.70999376363636,592.631439493971,14.023965499090913,46.902158594647325,16.559114331818186,64.72217054734824
274.9672990697675,627.7925444863212,135.43079337209304,553.3170048383629,10.302887085581398,31.494823724415895,7.411392177674418,10.48763153796335
291.0104834259261,797.6877150819494,137.85941262962976,551.2122150053679,9.805590152314814,11.726289737586685,5.979490029629627,5.213938881745088
