@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-1.0,1
-1.0,2
-1.0,3
-1.0,4
-1.0,5
-1.0,6
-1.0,7
-1.0,8
-1.0,9
-1.0,10
5522.55,11
4880.5884,12
3761.0056,13
3171.2861,14
2817.5105,15
2977.6833,16
3052.022,17
3177.7463,18
3002.965,19
3068.0298,20
3274.154,21
3007.7622,22
2755.8992,23
2957.7048,24
2992.5967,25
2969.2493,26
3035.9707,27
3031.7146,28
2776.9158,29
2546.2476,30
3027.607,31
2996.9692,32
2846.441,33
2788.3757,34
2975.7068,35
3040.419,36
2804.4985,37
3165.7236,38
2522.2944,39
2457.5417,40
2487.2878,41
2215.3645,42
1345.9818,43
950.25714,44
1261.3314,45
857.9372,46
965.1435,47
753.7996,48
705.95667,49
873.59436,50
665.51306,51
694.28174,52
679.3544,53
668.57965,54
659.9812,55
706.89417,56
717.67194,57
665.4223,58
709.29816,59
747.7087,60
784.05005,61
725.13513,62
696.7969,63
849.6978,64
775.1019,65
758.87506,66
722.584,67
840.57086,68
745.95447,69
838.5349,70
855.42676,71
820.7988,72
833.98694,73
928.1505,74
914.5562,75
885.5368,76
931.34,77
967.83777,78
904.7094,79
935.37946,80
1015.9669,81
947.5983,82
1066.6235,83
1004.217,84
1027.1105,85
997.39624,86
1127.5784,87
1064.6444,88
1071.7316,89
1152.3826,90
1075.4255,91
1194.3838,92
1124.3098,93
1191.5728,94
1174.3127,95
1185.7789,96
1225.2122,97
1161.8402,98
1223.3997,99
1371.014,100
1245.7794,101
1404.047,102
1389.7648,103
1363.5198,104
1405.9514,105
1390.466,106
1386.0453,107
1494.809,108
1434.974,109
1461.8246,110
1491.4866,111
1528.0804,112
1697.2251,113
1583.1158,114
1553.0033,115
1604.6044,116
1666.0521,117
1665.4857,118
1656.73,119
1671.3291,120
1678.873,121
1705.3447,122
1673.8856,123
1710.0505,124
1768.8818,125
1843.3447,126
1786.1296,127
1734.778,128
1800.2858,129
1819.0609,130
1846.226,131
1874.1626,132
1899.3511,133
1915.5519,134
1957.4042,135
1854.9961,136
1982.3451,137
1955.1143,138
1913.2113,139
1930.3739,140
1802.9639,141
1922.6115,142
1979.7365,143
2020.0067,144
2097.5305,145
1997.3145,146
2114.977,147
2330.1057,148
2416.1267,149
2322.4673,150
2240.4695,151
2176.3452,152
2498.4026,153
2385.2852,154
2050.6343,155
2152.5483,156
1980.1321,157
2050.201,158
2082.3188,159
2153.297,160
2487.6353,161
2510.2651,162
2407.941,163
2306.6755,164
2355.6516,165
2379.3699,166
2397.1404,167
2392.4111,168
2087.8398,169
2156.993,170
2281.2708,171
2312.7227,172
2331.2493,173
2520.218,174
2414.2842,175
2552.95,176
2609.0137,177
2384.1482,178
2421.0176,179
2442.9434,180
2580.6663,181
2493.7395,182
2577.7314,183
2584.0078,184
2644.0488,185
2695.076,186
2554.4949,187
2335.4634,188
2208.6892,189
2259.8894,190
2232.6729,191
2270.5874,192
2308.6533,193
2296.627,194
2528.2988,195
2529.5735,196
2438.5657,197
2396.3584,198
2395.436,199
2482.878,200
2396.046,201
2308.3867,202
2307.4133,203
2441.8691,204
2373.624,205
2293.1157,206
2302.0498,207
2359.0535,208
2353.2659,209
2344.0337,210
2385.8093,211
2311.1838,212
2249.1206,213
2330.8745,214
2577.2688,215
2257.5452,216
2173.421,217
2140.6401,218
2159.682,219
2170.1323,220
2286.6758,221
2360.721,222
2477.2373,223
2576.9631,224
2358.0574,225
2475.404,226
2344.7056,227
2494.4446,228
2539.7688,229
2592.5823,230
2577.3413,231
2503.8748,232
2490.1646,233
2527.968,234
2567.0117,235
2657.0906,236
2688.6445,237
2690.3567,238
2662.278,239
2538.4897,240
2588.7764,241
2402.103,242
2535.7358,243
2570.8423,244
2453.8604,245
2440.0867,246
2448.7878,247
2494.0513,248
2432.7803,249
2652.998,250
2679.7031,251
2588.567,252
2563.53,253
2465.0847,254
2588.9868,255
2469.9358,256
2530.5671,257
2747.4407,258
2705.745,259
2901.044,260
2763.3892,261
2705.2124,262
2764.2317,263
2471.82,264
2405.69,265
2416.723,266
2421.931,267
2379.7026,268
2330.638,269
2365.224,270
2518.2627,271
2549.6409,272
2637.7122,273
2597.2122,274
2510.8945,275
2583.3801,276
2643.2969,277
2606.7087,278
2459.9985,279
2521.3984,280
2605.9836,281
2569.2263,282
2495.225,283
2640.8726,284
2594.5166,285
2757.4849,286
2625.071,287
2603.0562,288
