@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral bandwidth' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,1
NaN,2
NaN,3
NaN,4
NaN,5
NaN,6
NaN,7
NaN,8
NaN,9
NaN,10
3169.1973,11
3218.0007,12
3080.8374,13
2927.1538,14
2575.9543,15
2769.7485,16
2854.8284,17
2775.8948,18
2758.0454,19
2868.9636,20
2965.1885,21
2831.984,22
2540.1003,23
2753.1475,24
2612.7837,25
2594.507,26
2729.831,27
2781.597,28
2604.4,29
2408.5103,30
2755.4153,31
2696.7073,32
2564.7227,33
2619.0034,34
2711.6853,35
2689.855,36
2560.8916,37
2873.8657,38
2373.9548,39
2330.6118,40
2352.834,41
2053.2725,42
1212.648,43
841.4713,44
1040.385,45
705.8406,46
701.4167,47
574.9715,48
536.23627,49
579.4093,50
480.30777,51
503.57565,52
481.44922,53
465.24698,54
445.41144,55
467.35822,56
485.43753,57
450.79834,58
470.80777,59
492.81082,60
466.75867,61
459.56625,62
453.84354,63
501.42117,64
492.46176,65
476.9417,66
466.6463,67
507.85867,68
485.87698,69
526.7404,70
537.0904,71
535.8766,72
541.5219,73
605.3528,74
610.67896,75
577.9787,76
636.4358,77
638.92505,78
619.2369,79
627.2266,80
690.682,81
630.13275,82
718.70105,83
664.24286,84
695.99365,85
657.2908,86
747.91925,87
726.81805,88
711.6872,89
758.7312,90
709.3719,91
786.78375,92
744.0261,93
801.2034,94
794.03656,95
814.18695,96
821.9494,97
804.41956,98
840.834,99
930.9191,100
860.8325,101
956.41425,102
957.29944,103
941.0126,104
962.9025,105
938.5961,106
935.49634,107
1006.7908,108
989.90906,109
991.09546,110
1013.44324,111
1032.9823,112
1071.7369,113
1029.3859,114
1051.972,115
1080.0138,116
1085.7573,117
1111.009,118
1108.5872,119
1170.8508,120
1196.1013,121
1178.2013,122
1148.8447,123
1169.7222,124
1197.8997,125
1250.9741,126
1211.9125,127
1208.0029,128
1253.6748,129
1196.449,130
1234.1469,131
1243.7094,132
1199.1603,133
1238.1036,134
1214.9438,135
1238.2931,136
1201.4486,137
1277.0696,138
1180.0176,139
1231.6176,140
1148.9639,141
1229.1846,142
1255.9963,143
1310.0093,144
1315.0522,145
1303.9294,146
1344.6238,147
1512.1536,148
1397.2352,149
1296.2264,150
1315.7567,151
1384.8472,152
1138.2576,153
1479.848,154
1410.0143,155
1520.9718,156
1431.3026,157
1450.8446,158
1460.3468,159
1528.3333,160
1313.9843,161
1291.833,162
969.46533,163
1135.9495,164
1107.2686,165
1084.9915,166
1152.8247,167
1315.2728,168
1354.3955,169
1371.2157,170
1409.0793,171
1470.3978,172
1453.8458,173
1425.8873,174
1402.6115,175
1464.8691,176
1456.474,177
1443.9583,178
1351.2944,179
1284.83,180
1262.5309,181
1286.107,182
1120.475,183
1246.0679,184
1272.6876,185
1292.3153,186
1358.7195,187
1446.1588,188
1467.1342,189
1423.1571,190
1429.2109,191
1447.3146,192
1435.8312,193
1453.1906,194
1022.9784,195
1030.3726,196
1082.2493,197
1097.8752,198
1116.423,199
1336.6138,200
1356.183,201
1431.653,202
1501.342,203
1549.1029,204
1364.364,205
1365.0474,206
1426.8656,207
1534.0198,208
1516.0725,209
1510.25,210
1630.5316,211
1595.5707,212
1586.7955,213
1601.6841,214
1526.5548,215
1447.4939,216
1523.0319,217
1517.5532,218
1556.2839,219
1573.4689,220
1617.3657,221
1439.675,222
1426.727,223
1384.7855,224
1342.1008,225
1403.2292,226
1315.7095,227
1415.4983,228
1511.8708,229
1450.8435,230
1425.8306,231
1457.5475,232
1522.957,233
1513.3418,234
1472.6078,235
1329.1259,236
1343.4526,237
1393.3372,238
1484.8347,239
1310.1239,240
1425.624,241
1539.7091,242
1574.786,243
1374.7136,244
1417.1615,245
1482.9866,246
1476.6323,247
1464.631,248
1404.8833,249
1080.9313,250
1164.1805,251
1132.5925,252
1094.934,253
1046.8473,254
1177.0059,255
1370.6617,256
1237.1578,257
1322.4482,258
1355.448,259
1277.8229,260
1324.504,261
1307.5525,262
1284.1451,263
1184.7191,264
1350.1394,265
1453.8209,266
1356.2764,267
1464.1415,268
1634.7325,269
1544.1605,270
1551.1189,271
1366.2266,272
1012.2621,273
1161.0256,274
992.2517,275
1056.2178,276
953.7533,277
1241.9602,278
1481.9235,279
1490.255,280
1388.0706,281
1560.0415,282
1543.6528,283
1313.0159,284
1329.9978,285
1311.4657,286
1159.8824,287
1111.0131,288
1115.2976,289
1240.6411,290
1381.6733,291
1482.5945,292
1587.7546,293
1483.601,294
1270.072,295
1428.1472,296
1220.1138,297
1220.3615,298
1429.8843,299
1337.8583,300
1416.6731,301
1442.6953,302
1478.3641,303
1548.3612,304
1115.0244,305
1089.5143,306
1071.6283,307
1146.035,308
1043.433,309
1090.6672,310
1411.4591,311
1340.5128,312
1279.4153,313
1158.022,314
1121.2695,315
1131.0624,316
1205.332,317
1253.6112,318
1359.9948,319
1361.065,320
1532.7603,321
1492.7515,322
1496.4724,323
1420.3209,324
1291.6669,325
1344.3247,326
1261.4191,327
1070.7135,328
1164.5599,329
1150.4838,330
1014.3169,331
872.55914,332
1235.9806,333
1417.29,334
1452.9033,335
1453.6599,336
1004.8416,337
666.3304,338
1537.7916,339
1259.2164,340
1615.543,341
1560.506,342
1042.3156,343
477.83728,344
1559.6484,345
1169.5586,346
1178.2496,347
1609.2052,348
1519.6569,349
1005.8662,350
337.5778,351
834.7941,352
1453.4011,353
1105.771,354
1722.1682,355
1468.4563,356
856.462,357
391.2189,358
1564.6672,359
1151.2795,360
1125.8191,361
1479.5399,362
1630.4054,363
1436.9606,364
1239.5769,365
1359.4789,366
1640.1377,367
2245.3704,368
2356.0725,369
2307.3691,370
2571.6196,371
2733.4888,372
2696.3198,373
2769.9915,374
2750.8584,375
2611.466,376
2856.3901,377
3136.3418,378
3443.311,379
3582.9187,380
2561.2878,381
2053.4683,382
2377.82,383
2332.0923,384
2514.3948,385
2607.2917,386
2472.4844,387
2600.9873,388
2441.5361,389
2315.2344,390
2469.0464,391
2401.8599,392
2359.8057,393
2460.1755,394
2109.0718,395
2435.6929,396
2085.01,397
2189.3552,398
2091.8328,399
2069.308,400
2182.049,401
2105.061,402
2202.7695,403
2392.9507,404
2782.0552,405
2316.7197,406
2227.4922,407
2300.2292,408
2110.6343,409
2107.523,410
2378.1875,411
2211.7966,412
2147.398,413
2152.496,414
2086.0522,415
2211.199,416
2214.6812,417
2227.247,418
1975.4137,419
2284.2856,420
2152.4539,421
2171.8445,422
2045.0593,423
2126.0442,424
1921.7839,425
1799.7643,426
2067.658,427
2006.855,428
1977.7455,429
1925.8768,430
1973.1447,431
1982.8333,432
2024.9454,433
1888.7483,434
1940.191,435
2040.6595,436
2852.0378,437
2984.633,438
2954.7043,439
2806.499,440
2802.3975,441
2785.6792,442
2385.4182,443
2261.882,444
2080.8013,445
2013.1388,446
1965.9182,447
1969.348,448
2069.2783,449
2098.8005,450
1924.9806,451
1997.1201,452
1958.9623,453
1894.7825,454
1863.6224,455
2024.0472,456
2009.6848,457
2168.553,458
1824.5874,459
2066.217,460
2441.4006,461
2802.8267,462
2744.4802,463
2475.2217,464
2532.2026,465
2374.0913,466
2400.7927,467
2548.4446,468
2533.5923,469
2354.1943,470
2346.5857,471
2418.2024,472
2452.6294,473
2349.2864,474
2329.6458,475
2307.9685,476
2084.3374,477
1965.4874,478
2313.1655,479
2537.9255,480
2362.17,481
2453.7827,482
2381.4165,483
2617.8728,484
