@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral skewness' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,1
NaN,2
NaN,3
NaN,4
NaN,5
NaN,6
NaN,7
NaN,8
NaN,9
NaN,10
0.058576424,11
0.21924068,12
0.58428156,13
0.8628857,14
1.005908,15
0.9578086,16
0.86482173,17
0.81870043,18
0.9007782,19
0.7698365,20
0.7429515,21
0.825936,22
1.0024182,23
0.9088245,24
0.93900895,25
0.8989668,26
0.9096246,27
0.8589635,28
0.9590804,29
1.1578401,30
0.85006315,31
0.9368074,32
0.9358332,33
0.9802628,34
0.94490635,35
0.8812932,36
0.9878008,37
0.82282686,38
1.1689526,39
1.1685039,40
1.0970074,41
1.3024943,42
2.1581302,43
2.814329,44
2.4473257,45
3.310071,46
3.0970318,47
3.805116,48
4.1061506,49
3.7424235,50
4.6302423,51
4.348692,52
4.6675634,53
4.9254656,54
5.1672425,55
5.003144,56
4.944312,57
5.226276,58
5.338074,59
5.1013703,60
5.1268296,61
5.2332034,62
5.2291374,63
4.685669,64
5.028414,65
5.153925,66
4.34458,67
4.0642295,68
4.477985,69
4.2045817,70
4.054449,71
3.906512,72
2.911012,73
3.6626916,74
3.0885518,75
2.5861237,76
1.7150543,77
2.1033044,78
2.2155924,79
1.8563391,80
1.1386662,81
1.1702176,82
0.99075705,83
1.3236464,84
1.3430882,85
1.4240681,86
0.96083474,87
0.9784969,88
1.0037705,89
0.9689262,90
1.1022923,91
0.88423586,92
1.0030046,93
0.8870191,94
0.9958463,95
0.97391236,96
0.9623875,97
1.0093652,98
0.99993783,99
0.8120065,100
1.0155674,101
0.74377584,102
0.8059722,103
0.8424668,104
0.74547213,105
0.8428199,106
0.8769021,107
0.6781945,108
0.821446,109
0.7734709,110
0.77017677,111
0.7571536,112
0.5589295,113
0.81160206,114
0.8410612,115
0.7123441,116
0.6913205,117
0.65159744,118
0.63939595,119
0.6247323,120
0.60958344,121
0.5782975,122
0.69573116,123
0.6695365,124
0.5462202,125
0.47563308,126
0.6061889,127
0.61134887,128
0.6025983,129
0.58897203,130
0.5906097,131
0.5525465,132
0.5463597,133
0.5117337,134
0.47194389,135
0.5571174,136
0.4286031,137
0.53173625,138
0.53580457,139
0.5550591,140
0.7430144,141
0.624808,142
0.6180996,143
0.62934816,144
0.653533,145
0.7812272,146
1.6435539,147
1.2031182,148
1.1741159,149
1.277135,150
1.4334787,151
1.5445161,152
1.4120218,153
1.3082275,154
1.3287365,155
1.0539497,156
1.2511674,157
1.169018,158
1.2049676,159
1.2439663,160
1.28344,161
1.4566532,162
1.3085927,163
1.4445251,164
1.4053757,165
1.374564,166
1.494109,167
1.2379991,168
1.3351091,169
1.1104906,170
1.0610276,171
0.9417102,172
0.9678505,173
1.0124882,174
1.186486,175
1.1587479,176
0.9994256,177
1.3029933,178
1.4762211,179
1.2110813,180
1.2480541,181
1.2873012,182
1.5305414,183
1.3111857,184
1.0883352,185
1.0267409,186
1.1944522,187
1.3284401,188
1.2216473,189
1.0947278,190
0.9399843,191
0.9481336,192
0.8835458,193
0.9319638,194
1.4675908,195
1.491286,196
1.3498994,197
1.2324522,198
1.2204626,199
1.0450144,200
1.2224735,201
1.074316,202
1.0258065,203
0.91962934,204
0.91160077,205
1.0243747,206
1.026163,207
1.1074026,208
1.2476946,209
1.2941087,210
1.1958737,211
1.2562584,212
1.3434504,213
1.3439966,214
1.1951402,215
1.0838273,216
1.1448603,217
1.1579047,218
0.93900484,219
1.0164473,220
0.9960942,221
1.223244,222
1.1062611,223
1.0600859,224
0.9833443,225
0.9353159,226
0.983585,227
0.91401285,228
1.1955698,229
0.94851905,230
0.8608358,231
0.8412605,232
0.80269957,233
0.79671633,234
0.772569,235
1.217968,236
1.0900005,237
1.0572329,238
0.9732996,239
1.1086105,240
1.1886654,241
1.1986932,242
1.0968806,243
0.9747892,244
0.8655521,245
0.74868745,246
0.70417124,247
0.88464963,248
1.0430524,249
1.4448384,250
1.4672955,251
1.2217453,252
1.1378442,253
1.1486893,254
0.96087223,255
1.0529201,256
1.131638,257
0.8688122,258
0.9317515,259
0.7128641,260
0.87681574,261
0.88885456,262
1.017453,263
1.302019,264
1.026225,265
0.93994033,266
0.94968456,267
0.9318455,268
0.8476782,269
1.0382826,270
1.1196548,271
1.058206,272
1.1441216,273
1.1155263,274
1.1984595,275
1.155691,276
1.3121442,277
1.0489205,278
0.8774233,279
0.75087124,280
0.79465723,281
0.75724804,282
0.91022503,283
0.9035828,284
1.2849258,285
1.057776,286
1.1620252,287
1.2570553,288
1.1765944,289
1.0662107,290
1.1104114,291
0.9018166,292
1.2059865,293
1.2926168,294
1.4214244,295
1.0826888,296
1.2065824,297
1.204235,298
0.943343,299
0.88223857,300
0.9206006,301
0.88420707,302
0.83578604,303
1.1003209,304
1.3068178,305
1.2965868,306
1.1005123,307
0.96762514,308
0.97537684,309
0.9550729,310
1.1641034,311
1.208814,312
1.2155557,313
1.2745429,314
1.5290208,315
1.3511071,316
1.1541781,317
1.3034596,318
1.4578508,319
1.4881303,320
1.303106,321
1.4152954,322
1.6075763,323
1.4203126,324
1.3924022,325
1.5417066,326
1.8100561,327
2.0238469,328
2.2022626,329
2.2564323,330
2.6566095,331
1.4987737,332
1.1128273,333
1.0721419,334
0.865673,335
1.3094393,336
2.0820704,337
4.1097684,338
0.87594503,339
0.85058975,340
0.82715195,341
0.9206537,342
1.456013,343
3.9577758,344
0.9066302,345
0.89565974,346
0.70505005,347
0.81068265,348
1.1968921,349
2.0650818,350
5.3044486,351
2.7791007,352
0.8046543,353
0.839422,354
0.91005,355
1.2134633,356
1.9703878,357
4.564011,358
0.84270006,359
0.8096232,360
0.85652137,361
0.8922087,362
1.2867079,363
1.9805138,364
2.33877,365
2.0656192,366
1.4662728,367
1.1348602,368
0.9844149,369
1.1055015,370
0.80032516,371
0.64355356,372
0.7834699,373
0.782471,374
0.7292619,375
0.9245068,376
0.76750296,377
0.68047935,378
0.5293491,379
0.4318113,380
0.92189986,381
1.2276537,382
0.8808779,383
0.9884338,384
0.9230571,385
0.6576077,386
0.7218312,387
0.7168265,388
0.84896296,389
0.89331305,390
0.84976166,391
0.85409075,392
1.0221605,393
0.96669716,394
1.0275931,395
0.94145375,396
1.0145653,397
1.0626584,398
1.0651705,399
1.0991923,400
1.0243981,401
1.1531371,402
1.1799959,403
1.1107162,404
0.82358885,405
0.9892217,406
0.97432685,407
0.9167603,408
1.1999743,409
1.1124052,410
0.8961951,411
0.82886285,412
0.91277486,413
0.9359824,414
1.1020676,415
0.91361284,416
0.88462454,417
0.8824699,418
1.1422951,419
0.8932996,420
0.9518174,421
1.0475873,422
1.1618272,423
1.1838156,424
1.1446602,425
1.1628675,426
1.1391952,427
1.1221647,428
1.0530523,429
1.2945125,430
1.2024672,431
1.2025043,432
1.1467093,433
1.1763643,434
1.1081967,435
1.1255419,436
0.6542681,437
0.31681016,438
0.50227857,439
0.4876893,440
0.4289579,441
0.4562611,442
0.8731848,443
0.9529701,444
1.0479723,445
1.0787828,446
1.2390594,447
1.1157357,448
1.0489821,449
1.0221127,450
1.3689865,451
1.3247429,452
1.0727563,453
1.0845098,454
1.0552473,455
0.98715496,456
1.154626,457
1.1198014,458
1.2119361,459
1.1595641,460
1.0157598,461
0.8975178,462
0.8098463,463
1.0529137,464
1.0384448,465
0.8862629,466
0.8918783,467
0.78011054,468
0.71572685,469
0.8599438,470
0.85763156,471
0.81234145,472
