@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral kurtosis' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,1
NaN,2
NaN,3
NaN,4
NaN,5
NaN,6
NaN,7
NaN,8
NaN,9
NaN,10
1.7815063,11
1.7651554,12
2.0999086,13
2.4984598,14
2.8905447,15
2.70612,16
2.505653,17
2.3365755,18
2.6218357,19
2.314114,20
2.3955631,21
2.3638556,22
2.9162655,23
2.6205618,24
2.8186402,25
2.6380475,26
2.6959789,27
2.460431,28
2.7351565,29
3.2011273,30
2.573978,31
2.6507819,32
2.819956,33
2.7554493,34
2.78978,35
2.5857568,36
2.7546172,37
2.4740636,38
3.198925,39
3.271945,40
2.9081779,41
3.4770641,42
6.7414308,43
10.366765,44
8.191293,45
13.809413,46
12.308944,47
17.831146,48
20.946032,49
17.09709,50
25.905844,51
23.359514,52
26.958715,53
30.380749,54
33.362423,55
32.298286,56
32.133114,57
35.781036,58
37.70975,59
35.746754,60
35.869423,61
41.112717,62
42.48562,63
32.836643,64
39.079876,65
43.23474,66
35.54913,67
31.984192,68
37.762318,69
33.07176,70
30.2184,71
31.333014,72
25.814995,73
30.274721,74
25.77112,75
20.795671,76
12.324757,77
14.830222,78
14.41098,79
11.310408,80
6.636494,81
5.6038594,82
4.895173,83
6.4269323,84
6.497123,85
6.5998793,86
4.503691,87
4.0361323,88
3.953022,89
3.769898,90
4.128491,91
3.6772125,92
3.726047,93
3.3330562,94
3.5980272,95
3.3637614,96
3.6216981,97
3.381094,98
3.3125198,99
3.431689,100
3.7161236,101
3.0676548,102
2.972852,103
2.9493356,104
2.940558,105
3.1001046,106
3.1413434,107
2.6848786,108
2.8450322,109
2.839018,110
2.8124444,111
2.7431731,112
2.566465,113
2.9775667,114
3.0074754,115
2.8475783,116
2.788418,117
2.5429916,118
2.555146,119
2.3752608,120
2.310766,121
2.309808,122
2.5259566,123
2.4968839,124
2.3511899,125
2.2083151,126
2.4267051,127
2.4061868,128
2.3677113,129
2.4754343,130
2.4231877,131
2.3659773,132
2.476848,133
2.423178,134
2.4762309,135
2.4667017,136
2.4427607,137
2.4139853,138
2.5494566,139
2.5287151,140
2.8047984,141
2.6295547,142
2.663418,143
3.019723,144
3.3357613,145
3.872999,146
7.0937247,147
5.392441,148
5.5722866,149
5.924403,150
6.215831,151
6.4238753,152
6.686936,153
5.3732505,154
5.61421,155
4.6824727,156
5.155236,157
5.1752715,158
5.0815964,159
5.2854195,160
5.8187394,161
6.6958914,162
6.6617503,163
6.7696476,164
6.6473866,165
6.7769074,166
6.5587726,167
6.0171366,168
5.6482887,169
4.978088,170
4.9521785,171
4.470595,172
4.6435285,173
5.042048,174
5.767146,175
5.4595246,176
5.0399446,177
5.881513,178
6.233042,179
5.556801,180
6.085886,181
5.8047132,182
6.813435,183
6.22199,184
5.636877,185
5.3608227,186
5.9953337,187
5.738844,188
5.4135823,189
5.031613,190
4.4442916,191
4.527567,192
4.5615387,193
4.609271,194
6.7777457,195
6.792183,196
6.5146475,197
5.9658885,198
5.9292536,199
5.052131,200
5.706436,201
5.1609077,202
4.8179517,203
4.4740777,204
4.6943736,205
4.9210014,206
4.6829786,207
4.8692503,208
5.197528,209
5.33478,210
5.0796285,211
5.0517664,212
5.4155726,213
5.352177,214
5.5289426,215
5.0543346,216
4.919965,217
4.9737287,218
4.083334,219
4.162263,220
4.5325446,221
5.618416,222
5.2138286,223
5.1851783,224
4.681933,225
4.6485972,226
4.771984,227
4.734154,228
5.540005,229
4.946518,230
4.629287,231
4.148558,232
4.03787,233
4.0570393,234
4.012052,235
5.3895726,236
4.84201,237
5.0525575,238
4.677949,239
5.342033,240
5.281345,241
5.186282,242
4.9056773,243
4.943721,244
4.567813,245
4.0985136,246
3.9762106,247
4.4692035,248
5.3233314,249
6.664261,250
6.184195,251
5.8277464,252
5.654242,253
5.7797885,254
5.0467677,255
4.948842,256
5.133039,257
4.8231087,258
5.0318537,259
4.6896663,260
4.9342847,261
5.0412374,262
5.14946,263
5.9342694,264
4.9761653,265
4.5048785,266
4.883106,267
4.347391,268
3.9722285,269
4.879993,270
4.745195,271
5.007516,272
5.6857395,273
5.179394,274
5.9168415,275
5.6172123,276
6.29148,277
5.247802,278
4.1475506,279
4.0103474,280
4.416845,281
3.9481292,282
4.469922,283
4.9467835,284
6.143494,285
4.924935,286
5.5546575,287
6.0610433,288
5.794573,289
5.3077965,290
5.090561,291
4.3639836,292
5.1480775,293
5.5640335,294
6.053782,295
4.911075,296
5.670943,297
5.8127217,298
4.603938,299
4.6593776,300
4.5123487,301
4.5129075,302
3.9862087,303
5.085204,304
6.085995,305
5.7351694,306
5.1861305,307
4.819872,308
5.280276,309
5.265555,310
5.16214,311
5.2489276,312
5.0465746,313
5.7201,314
6.9614487,315
6.030576,316
5.7179775,317
5.867282,318
6.451125,319
6.470368,320
5.5300274,321
5.597726,322
6.5627403,323
6.5382195,324
7.3002834,325
6.910965,326
7.793363,327
9.988052,328
10.088813,329
10.111325,330
12.209177,331
7.3182716,332
5.762944,333
5.107475,334
4.5433044,335
5.270431,336
8.662722,337
22.373608,338
4.6249084,339
4.67451,340
4.6978536,341
4.532646,342
5.586927,343
21.584032,344
5.317765,345
5.4125986,346
4.64687,347
4.12206,348
5.3676944,349
9.0149145,350
36.659256,351
10.767694,352
4.4543605,353
5.082471,354
4.481332,355
5.160379,356
7.89548,357
27.521925,358
4.8157096,359
5.1609635,360
5.223445,361
4.6416855,362
5.7138405,363
6.687734,364
7.4581842,365
6.2629657,366
5.4021616,367
3.6064758,368
3.0421338,369
3.2575364,370
2.5931196,371
2.3266788,372
2.5150125,373
2.4922886,374
2.3886225,375
2.741121,376
2.4371114,377
2.2231967,378
1.9260527,379
1.7541614,380
2.849765,381
3.8197546,382
2.8349411,383
3.1036668,384
2.8157356,385
2.4270256,386
2.6375694,387
2.52779,388
2.7006743,389
2.9573119,390
2.7663128,391
2.9327388,392
3.0994008,393
3.1097915,394
3.4709969,395
2.8331494,396
3.146436,397
3.2766154,398
3.4859748,399
3.6692498,400
3.3407326,401
3.4575374,402
3.6510193,403
3.3851492,404
2.5847266,405
3.147778,406
3.284523,407
3.2700164,408
3.7043827,409
3.5090568,410
3.0166256,411
3.0030758,412
3.3049736,413
3.4741974,414
3.7734592,415
3.2700422,416
3.070613,417
3.093726,418
3.753115,419
3.0773416,420
3.4030645,421
3.4034135,422
3.9950204,423
3.9528081,424
4.012566,425
3.8978488,426
3.7325656,427
3.6958194,428
3.6388729,429
4.314708,430
3.9701421,431
3.896392,432
3.908827,433
4.0703855,434
3.814079,435
3.5791936,436
2.193198,437
1.9678009,438
2.1666992,439
2.4454913,440
2.2613199,441
2.2136588,442
2.991778,443
3.1964388,444
3.5219562,445
3.6390073,446
4.048658,447
3.7634406,448
3.41792,449
3.4794471,450
4.2315507,451
4.0626683,452
3.4822958,453
3.8102543,454
3.5462701,455
3.2728724,456
3.6916423,457
3.673063,458
4.139948,459
3.7306972,460
3.033018,461
2.5965912,462
2.5307806,463
3.0145147,464
2.8554678,465
2.814822,466
2.8202136,467
2.70674,468
2.6071289,469
2.8782306,470
2.8298874,471
2.6746066,472
2.9968367,473
2.9812727,474
3.0267649,475
3.3561192,476
3.7187083,477
3.8771732,478
3.0955958,479
2.6778226,480
2.885257,481
2.86957,482
2.7591481,483
2.4426847,484
2.671389,485
2.8257694,486
2.2408016,487
1.7049096,488
1.6691033,489
2.0397978,490
3.1137626,491
