@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,5
NaN,NaN,NaN,NaN,6
NaN,NaN,NaN,NaN,7
NaN,NaN,NaN,NaN,8
NaN,NaN,NaN,NaN,9
NaN,NaN,NaN,NaN,10
1.3547215,1.1970991,1.2962042,1.4239365,11
1.7680861,1.8260677,1.6725357,2.2335286,12
1.6341177,2.9015825,1.9593291,2.982955,13
1.5862521,2.2653673,2.1421177,2.0676603,14
2.160841,2.1836975,2.6373565,2.636623,15
1.9871241,1.8120188,2.5590706,2.241298,16
1.259741,1.7046361,1.6388946,2.3975956,17
2.0993762,1.8283287,2.642111,3.341986,18
2.2684026,2.2003336,2.478524,3.812719,19
2.351887,2.6319304,2.7943192,2.3235784,20
1.4048469,1.665222,2.420108,2.3442461,21
1.7515968,1.7358474,2.4676495,2.4278111,22
1.2468415,1.9224839,2.8650641,2.9015508,23
1.474589,1.9338096,2.015694,2.1554008,24
1.2327646,1.7508924,2.3425777,2.6018815,25
1.9595354,2.168134,2.0051634,2.2969294,26
2.1142902,1.9452192,2.2378829,2.618529,27
1.7535298,1.794983,1.7957562,3.178258,28
2.1865656,1.8002585,1.8920023,2.9508238,29
1.4194595,2.471917,1.9851296,3.0537584,30
2.3408668,1.879588,2.1995027,3.00393,31
1.966034,2.201683,2.6567504,2.4211051,32
2.1310196,1.8433542,3.0037613,2.1506271,33
1.4916221,1.911996,1.9935343,2.6841252,34
1.5071944,1.7569463,1.8168268,2.4391553,35
1.4326137,2.0897274,2.3239477,3.004653,36
1.6801791,2.1336544,2.198923,2.615348,37
2.2476325,2.2761638,2.5101593,2.6030488,38
1.6026239,2.3114822,1.8578476,2.1590135,39
2.2185447,1.9605995,1.8325094,2.1280787,40
3.0414858,1.8038349,2.1628823,2.6439667,41
3.3313,2.0797975,2.5611432,2.2561817,42
2.1778562,1.8165331,1.5993178,3.0950546,43
2.196878,2.899714,1.9806359,2.9372363,44
2.0194514,2.636827,2.316585,2.5000958,45
1.8201339,3.4837816,1.6678671,2.1076,46
1.7294717,7.04394,2.6176527,2.832254,47
1.9616625,5.2251005,2.2252157,2.5243323,48
2.1376164,3.9954715,2.7071424,2.76479,49
2.0332687,3.8369853,3.9145405,2.94135,50
2.4751592,3.497381,3.4819698,2.170828,51
2.2733276,4.174867,5.727015,2.8905132,52
2.177244,3.7456987,7.321068,2.6025085,53
2.714236,2.8787165,6.703752,3.1257412,54
2.7916656,2.6444294,7.312908,2.5981503,55
2.288039,2.3194222,5.142107,2.420535,56
2.3665805,2.9097965,4.88032,2.9839482,57
2.966473,2.754402,4.8471937,2.5948377,58
2.865235,2.8451698,7.080729,2.2364419,59
2.7612088,2.6061585,8.442857,2.230435,60
2.0504537,3.7219806,7.4427934,2.8096788,61
2.6362722,3.6346729,7.721114,4.2615733,62
3.3356612,3.7367878,6.6588974,4.6912317,63
3.3671978,3.6533527,7.086647,3.2931879,64
2.9866946,4.2105374,6.1499786,6.925557,65
2.8392043,3.8860085,6.160116,7.370781,66
2.6689808,4.5440955,6.394871,4.7964325,67
2.1283677,4.1486206,5.6686907,5.7101874,68
2.4911146,4.5683584,6.600102,6.316531,69
1.9869399,4.291414,6.0959578,14.433914,70
2.2006612,4.927277,6.194304,16.000692,71
2.1704764,4.7540708,6.0423217,12.48743,72
2.1540437,4.414433,6.0165443,14.807692,73
2.3621466,3.9880347,6.2682405,10.864555,74
1.9212178,3.8948867,5.8512607,11.25132,75
1.9520206,3.295977,5.263535,11.173285,76
1.8753319,4.386795,5.553639,9.76914,77
2.2452796,4.2362237,5.2347608,8.653619,78
1.9875437,4.7165127,5.3818493,8.623492,79
2.3372371,5.199255,4.7522573,7.8951845,80
1.9356525,5.633575,5.4176903,6.776946,81
2.2356267,4.5861216,4.6596565,7.7621107,82
1.9704959,5.004744,3.915317,6.8119164,83
2.022285,5.210294,4.0821934,6.727498,84
1.892292,4.884753,4.6600122,7.093318,85
2.0702639,4.631148,3.9183788,6.019023,86
2.3039994,4.54015,4.5996895,8.023972,87
1.8872509,4.8178053,4.8859067,8.223511,88
2.1164937,5.0262527,4.7103686,14.713918,89
1.6548334,4.7999406,5.6640706,13.893675,90
1.8671888,4.6155095,5.8566546,12.5288105,91
1.7784766,4.204374,6.0349693,12.563206,92
1.9827884,4.1569324,6.3312883,11.617568,93
1.8490938,4.4044776,5.7402787,11.743483,94
2.0650935,4.52434,6.56256,11.770354,95
1.8953621,4.791013,5.949451,10.651342,96
2.090465,4.653952,5.640876,11.643887,97
1.7484179,3.5868545,6.006,11.194725,98
1.8316104,3.5669975,5.1086674,10.398411,99
1.7548201,3.913379,5.183884,9.81799,100
1.684143,3.6109746,5.2496343,11.481358,101
1.6936141,3.7582376,5.7385764,10.150998,102
2.0071409,3.6592367,5.1723137,11.36935,103
2.1254823,5.8019147,5.7545466,10.115088,104
1.815619,5.099425,6.050567,12.594248,105
1.9876038,5.151203,6.014589,10.724022,106
2.3574748,6.227738,5.876191,11.241742,107
2.0367608,6.1944184,6.3009396,10.963039,108
1.9598997,6.5951858,6.8381968,10.275901,109
2.006948,6.0026007,6.439288,10.565431,110
2.0406294,6.395133,5.6390724,10.404153,111
1.7988645,6.12812,6.0596013,10.7118025,112
1.9311957,6.3836083,6.5928793,9.9053,113
2.1636348,6.1187906,6.9190335,8.940321,114
2.171085,6.6549435,6.2762337,9.445975,115
2.3376832,5.319317,5.7911,9.17852,116
2.2049093,5.6158185,5.9493666,8.120616,117
2.0874233,6.1020985,6.3892255,9.75604,118
2.1179345,6.106321,6.1879654,9.281504,119
2.5056372,5.133595,6.440302,7.47605,120
2.547932,4.6750693,4.8518443,7.940769,121
2.4417553,5.4662685,5.0204806,8.718123,122
2.3317323,4.7528467,5.0948296,8.223152,123
2.2937794,4.6799545,5.8843446,7.839634,124
2.4037163,4.845034,6.625797,8.97736,125
2.5297203,4.393434,6.4675016,9.107374,126
2.6109836,4.0572467,7.1783667,9.284682,127
2.70838,3.8764994,5.9785967,8.7734,128
2.5208178,4.276909,6.2128925,8.081268,129
2.5679905,4.0069156,7.307822,9.288462,130
2.3817024,4.1355863,7.878487,8.551194,131
2.2756848,4.3641634,8.549017,7.744187,132
2.4060273,4.141534,8.338372,8.151632,133
2.5633736,3.8485382,8.603274,6.302731,134
2.4888577,3.9291759,8.787326,6.7075644,135
2.4396033,4.488228,8.622482,6.2385325,136
2.3964698,4.2817616,8.601377,7.194712,137
2.5517755,4.1223555,8.928375,7.2234135,138
2.6211736,4.2162056,8.6911,9.397259,139
2.5783248,4.5219984,8.3068695,8.210045,140
2.5143864,4.4182105,7.9765496,8.967285,141
2.2878323,4.0846105,7.5320807,8.159501,142
2.4660852,3.823733,7.5796494,8.481076,143
2.6749334,4.5652184,7.0439973,7.0637627,144
2.508873,4.555836,6.990679,6.7297854,145
2.3938425,4.5598063,6.647199,6.214149,146
2.2971199,3.7049255,3.0258071,4.4002914,147
2.5198991,3.945433,3.7353146,2.7524586,148
2.5740323,4.4969993,4.9180336,5.5444255,149
2.3437498,4.615133,5.3989806,7.5920744,150
2.5950246,4.9162664,5.748137,7.6144586,151
2.6796665,4.6435227,5.7434673,6.488109,152
2.4959722,4.1330137,4.161894,7.261921,153
1.966409,2.9088469,4.6727524,5.0583353,154
2.3760777,2.7808492,5.1788516,5.9291234,155
2.450415,3.148567,4.041056,4.4139576,156
2.3762023,3.27973,5.123941,5.0521445,157
