@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,1
NaN,NaN,2
NaN,NaN,3
NaN,NaN,4
NaN,NaN,5
NaN,NaN,6
NaN,NaN,7
NaN,NaN,8
NaN,NaN,9
NaN,NaN,10
605.62134,345.69635,11
299.0039,166.30002,12
323.65057,175.53673,13
278.08594,127.06638,14
255.08563,157.37256,15
305.15625,195.16026,16
294.08203,134.81357,17
283.5205,153.40047,18
295.4834,150.95537,19
322.34552,189.39761,20
332.41882,198.88637,21
337.58505,156.65787,22
310.33145,155.90201,23
317.12537,198.01414,24
307.79813,144.40468,25
292.85156,133.35693,26
307.99005,141.89601,27
296.6797,126.69373,28
307.79813,193.76572,29
284.0055,147.31299,30
297.77344,173.60515,31
300.23438,186.0166,32
278.1857,153.35988,33
294.2871,150.04727,34
278.73535,129.79047,35
300.23438,185.44597,36
293.09082,202.97116,37
264.8584,140.06517,38
321.0405,149.59683,39
305.37997,169.7559,40
310.88562,181.99518,41
296.6797,197.558,42
294.2871,145.51518,43
284.7168,144.01253,44
273.13168,132.6573,45
312.86478,168.19878,46
280.5136,153.6952,47
275.39835,172.1351,48
323.65057,216.0151,49
303.92578,225.77007,50
305.26483,161.60207,51
316.26892,190.66595,52
302.7699,135.14597,53
314.13144,185.24428,54
334.80658,190.63477,55
314.13144,159.27702,56
314.13144,189.61002,57
269.7317,121.28182,58
323.69266,140.45749,59
284.7168,161.86635,60
288.66132,134.28452,61
295.4834,142.16727,62
293.09082,130.7134,63
280.5136,157.87822,64
294.2871,166.64096,65
334.80658,177.63797,66
305.15625,153.17236,67
290.39062,142.40517,68
294.08203,137.15173,69
291.6211,146.3482,70
300.23438,129.60289,71
291.89453,138.852,72
290.69824,136.7071,73
278.08594,142.7768,74
319.73544,138.65425,75
277.66498,156.12369,76
288.66132,153.12117,77
314.13144,152.27327,78
275.39835,130.9029,79
329.72717,180.034,80
279.34967,124.90727,81
344.53125,150.42448,82
273.13168,108.355736,83
289.50195,132.97656,84
305.26483,127.22832,85
328.38135,168.43797,86
267.01172,144.1921,87
302.6953,172.10735,88
293.09082,157.52452,89
293.09082,181.24866,90
295.4834,141.07591,91
296.6797,184.61652,92
311.5981,163.51189,93
327.03552,158.91568,94
290.69824,132.88504,95
270.54538,112.02731,96
276.53165,170.4517,97
306.5315,155.89687,98
299.0039,186.14679,99
299.0039,159.13535,100
269.4411,130.01306,101
288.66132,130.49821,102
267.01172,140.61034,103
258.39844,128.32089,104
276.53165,145.0835,105
264.8584,136.37506,106
301.46484,172.26562,107
288.66132,141.19905,108
295.4834,176.44757,109
303.92578,136.55432,110
291.89453,113.99323,111
300.23438,166.1543,112
314.51526,188.01674,113
310.60013,171.20448,114
285.9131,141.07591,115
312.86478,159.88528,116
