@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,5
NaN,NaN,NaN,NaN,6
NaN,NaN,NaN,NaN,7
NaN,NaN,NaN,NaN,8
NaN,NaN,NaN,NaN,9
NaN,NaN,NaN,NaN,10
0.9668604,0.9851022,0.9740321,0.97533023,11
0.86620784,0.8611027,0.84292924,0.87312865,12
0.89217544,0.70336217,0.86944133,0.83271664,13
0.9517395,0.737335,0.864821,0.86658794,14
0.87000245,0.79251546,0.8152881,0.77964133,15
0.8997789,0.8253832,0.7144585,0.8435222,16
0.9116327,0.82874036,0.9177532,0.7839505,17
0.8565574,0.90236557,0.81238663,0.8375536,18
0.8606486,0.8866562,0.7101428,0.80565906,19
0.64667714,0.6496083,0.817346,0.8733257,20
0.8390183,0.8881346,0.88292587,0.84790677,21
0.9118264,0.9098319,0.6750897,0.86650014,22
0.9722964,0.8877629,0.86710924,0.8284463,23
0.9087236,0.89113873,0.7511363,0.8823941,24
0.9473932,0.84242904,0.8667808,0.8451765,25
0.9144544,0.7725047,0.8040117,0.81009984,26
0.7121087,0.8092065,0.853388,0.83527505,27
0.7819806,0.8705435,0.8772339,0.81091756,28
0.8049748,0.8628164,0.8636057,0.82122153,29
0.88057446,0.76029444,0.8574321,0.7975993,30
0.7281725,0.7893714,0.93879473,0.8308918,31
0.7873587,0.72924393,0.8595184,0.870525,32
0.77354956,0.95525163,0.7774454,0.8235888,33
0.91252375,0.89738566,0.89261216,0.855315,34
0.9635883,0.9316158,0.87551874,0.84573925,35
0.87081116,0.7795445,0.8564462,0.7604151,36
0.95012873,0.818711,0.7855424,0.79864013,37
0.83925235,0.7749262,0.82296413,0.88036865,38
0.9321081,0.84982395,0.87677646,0.8720523,39
0.808788,0.86836517,0.8167001,0.8600168,40
0.67015266,0.7788529,0.8034063,0.76005894,41
0.602995,0.80718744,0.75285345,0.83989185,42
0.5372834,0.9256389,0.94878,0.81439024,43
0.7590087,0.85044724,0.88751155,0.7172753,44
0.7983212,0.7963835,0.814357,0.8714549,45
0.9255946,0.58694696,0.93645346,0.80695224,46
0.8041461,0.38372505,0.8441666,0.80277336,47
0.654647,0.39649147,0.7948252,0.8281605,48
0.7836365,0.4306476,0.8539706,0.8204447,49
0.6930828,0.51702493,0.69128776,0.7735525,50
0.6557128,0.6330504,0.8227691,0.84568655,51
0.64847577,0.5488005,0.7343891,0.82828856,52
0.7085939,0.5935876,0.44010848,0.7273405,53
0.5288575,0.71146756,0.49907842,0.79258066,54
0.6906829,0.6689603,0.40573496,0.82142127,55
0.704703,0.5776874,0.49658337,0.80475146,56
0.71211606,0.59565383,0.4028879,0.75414145,57
0.5285599,0.63349855,0.5121643,0.85477924,58
0.6712445,0.6621246,0.47279668,0.83085805,59
0.39446968,0.6400705,0.30252832,0.8753406,60
0.5429911,0.6709535,0.36457807,0.80664885,61
0.49100673,0.572791,0.39457116,0.79472655,62
0.47714296,0.6087997,0.40710816,0.76420385,63
0.41449365,0.48575667,0.43839476,0.7928274,64
0.55519384,0.41197893,0.44927078,0.5961815,65
0.55050224,0.48292786,0.4318898,0.5747055,66
0.5637596,0.37066665,0.46480188,0.63340926,67
0.66557676,0.44727612,0.48702243,0.57766443,68
0.6711848,0.38507935,0.4085401,0.45631808,69
0.791218,0.38324863,0.4831871,0.39865047,70
0.82136476,0.36592078,0.50869393,0.32250214,71
0.7359583,0.36326426,0.3671456,0.27451825,72
0.74828285,0.4566725,0.5339933,0.17745076,73
0.6695311,0.48134348,0.5915738,0.2827582,74
0.76272947,0.3759761,0.47337714,0.27772993,75
0.76135796,0.3897872,0.46441233,0.25521174,76
0.7706852,0.30235964,0.5159235,0.24703133,77
0.55522656,0.37220398,0.48829162,0.29745126,78
0.5651551,0.30607373,0.44485205,0.30248904,79
0.6378895,0.33918405,0.36272863,0.35473606,80
0.68955207,0.2820868,0.47479144,0.26204312,81
0.678214,0.26391974,0.48536593,0.31782648,82
0.6401634,0.37502187,0.6086115,0.34660986,83
0.66553277,0.27497822,0.5735202,0.40624303,84
0.6870141,0.400184,0.5482087,0.4638918,85
0.5242456,0.30340722,0.48905066,0.5164149,86
0.61698973,0.34704015,0.42016175,0.41963446,87
0.6936805,0.33681795,0.43696663,0.31582078,88
0.682649,0.27891254,0.40351346,0.30945614,89
0.8411544,0.34522042,0.38151214,0.31695434,90
0.80338293,0.3743716,0.47080934,0.25930738,91
0.90280795,0.45460698,0.43350145,0.28181562,92
0.83228624,0.47387266,0.36835945,0.29702184,93
0.875845,0.41701332,0.34850562,0.28759763,94
0.8295363,0.4145053,0.34367934,0.31681898,95
0.8253364,0.3595428,0.4160379,0.3502915,96
0.72690374,0.43856764,0.51874864,0.3266301,97
0.80511945,0.4017802,0.4445272,0.3119275,98
0.6879245,0.44494313,0.4020228,0.35418627,99
0.6477934,0.34032714,0.43336555,0.29851586,100
0.692615,0.37481046,0.4366179,0.32675403,101
0.6970498,0.32733616,0.37043858,0.33462122,102
0.6674155,0.3325152,0.4209286,0.3752206,103
0.5600444,0.32960248,0.36004555,0.3181792,104
0.59558415,0.30648905,0.36786684,0.2562411,105
0.6090136,0.34826854,0.41958293,0.339022,106
0.6318423,0.33092335,0.40760446,0.32162306,107
0.65403575,0.26069584,0.37680897,0.34946808,108
0.60444945,0.265703,0.37940168,0.37069443,109
0.5929826,0.1533956,0.33908123,0.3452017,110
0.54828525,0.2129765,0.31175125,0.32195517,111
0.4023634,0.27308336,0.35200024,0.386562,112
0.60053277,0.22233686,0.35662702,0.3600313,113
0.48314476,0.23558262,0.31085414,0.4108615,114
0.39015046,0.27201897,0.35353667,0.40700638,115
0.51023227,0.34383103,0.30198723,0.4365646,116
0.60219944,0.26167524,0.29148433,0.47023448,117
0.42226216,0.22424515,0.31425142,0.39896923,118
0.4018828,0.18494587,0.30413553,0.39510253,119
0.33239973,0.20202997,0.3208252,0.40578702,120
0.34062046,0.22025049,0.34551147,0.35493416,121
0.37325615,0.2373846,0.3074943,0.36194083,122
0.42023653,0.22120579,0.3110553,0.3622691,123
0.3437754,0.22732073,0.2866107,0.35335043,124
0.40251994,0.19299765,0.30121568,0.38243964,125
0.43244296,0.28293,0.3416998,0.41017553,126
0.39780465,0.29902914,0.24951649,0.3471887,127
0.34498978,0.27709675,0.3643071,0.34553885,128
0.417079,0.20629899,0.31188136,0.37866414,129
0.3678934,0.27705532,0.295135,0.28619984,130
0.44168326,0.22656353,0.30785692,0.35454324,131
0.42066357,0.24475056,0.25682467,0.39100945,132
0.39982346,0.20533952,0.30952963,0.3301446,133
0.3747752,0.254845,0.26191756,0.36350828,134
0.38349545,0.2622835,0.27649093,0.3624228,135
0.36559743,0.25398517,0.29504037,0.3583975,136
0.35413095,0.24195676,0.22735037,0.32344386,137
0.39636815,0.31594098,0.2509915,0.34774014,138
0.37696615,0.29005772,0.23119941,0.32029578,139
0.43678334,0.20623523,0.25617,0.35013267,140
0.39009708,0.3317978,0.28485796,0.3694946,141
0.44464266,0.33689976,0.34558424,0.43991256,142
0.52373064,0.45942008,0.30913624,0.41165096,143
0.48210528,0.24461149,0.42813852,0.47302008,144
0.5630617,0.32475093,0.28942716,0.45443714,145
0.5746701,0.29449967,0.5255543,0.4839735,146
0.7295078,0.73378265,0.63901997,0.67231625,147
0.481388,0.5588122,0.5788466,0.75913256,148
0.3751794,0.31270579,0.3286834,0.5216444,149
0.37667143,0.30284825,0.32035103,0.4141867,150
