@RELATION 'Music feature'
%rows=24
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE 'Chroma vector' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10
1.8571526E-6,1.7747055E-6,1.4600693E-6,2.1626051E-6,1.8682371E-6,2.1595413E-6,1.7420226E-6,2.875282E-6,1.3613917E-6,8.326025E-7,8.1590355E-7,9.3565234E-7,0.093582116,0.0894276,0.073573045,0.108973905,0.094140664,0.10881952,0.08778071,0.14488576,0.06860068,0.04195493,0.041113466,0.04714762,11
7.5019976E-5,5.026045E-5,4.574977E-5,6.8608846E-5,5.506334E-5,8.5127E-5,5.3020507E-5,7.941921E-5,4.9301107E-5,4.2189666E-5,4.532547E-5,4.1095485E-5,0.10869612,0.072822146,0.06628664,0.09940706,0.07978103,0.12334014,0.076821186,0.11507015,0.07143216,0.061128423,0.065671876,0.05954307,12
0.0024328693,0.0014816102,9.4865594E-4,0.0027550133,0.0011170491,0.0034439978,0.0017826406,0.0011230372,0.0019768784,0.001086212,0.0013773071,0.0019111644,0.11349225,0.06911645,0.04425437,0.12852013,0.052109834,0.16066094,0.08315938,0.05238918,0.09222048,0.050671294,0.06425075,0.08915496,13
0.0021349317,0.0013411838,0.0011766287,0.003646881,0.001485635,0.0014093629,0.001533538,0.0011263557,0.003780611,0.0010676286,0.0015825712,0.001340955,0.098719314,0.062016383,0.05440735,0.1686319,0.068695806,0.065168984,0.07091085,0.052082725,0.17481558,0.049367182,0.07317814,0.0620058,14
0.0018826379,0.0011397596,0.0014871225,0.0029994056,0.0013753695,0.0023282669,0.001197028,0.001826582,0.0046105706,0.0012323718,0.0012349292,0.0013108082,0.08321106,0.05037644,0.0657296,0.13257128,0.06079021,0.10290749,0.05290766,0.08073343,0.20378347,0.05446983,0.054582864,0.057936657,15
0.0015683579,0.00153612,0.0013952212,0.002534092,0.001120306,0.0021751702,0.0015619567,0.0014499025,0.0046366462,0.0011029394,0.0015913406,0.0014567225,0.07087414,0.069417305,0.06305009,0.11451569,0.050626658,0.098296,0.07058487,0.065521136,0.20953019,0.049841862,0.07191273,0.06582933,16
0.0018162747,0.0014583737,0.0017229214,0.002050568,0.0012260856,0.0016893137,0.0013721612,0.0010782442,0.0041080075,8.320748E-4,0.0011917023,0.0012696272,0.09165997,0.07359817,0.086948805,0.10348379,0.061875533,0.08525276,0.06924737,0.05441458,0.20731437,0.041991416,0.06014035,0.0640729,17
0.0020020795,0.0018405488,0.0017126165,0.003020749,0.0012724701,0.0018094513,9.79891E-4,0.001680078,0.002824335,0.001068734,0.0011712774,9.0773666E-4,0.09867337,0.090712264,0.08440706,0.14887895,0.06271425,0.089179605,0.04829436,0.08280339,0.13919859,0.052673027,0.057726923,0.0447382,18
0.0017028552,0.0012495758,0.0012417143,0.0027841872,0.0016613402,0.0017540104,0.0010570886,0.0013199188,0.003972426,0.0012540746,9.1037323E-4,0.001050291,0.08532256,0.06261072,0.062216822,0.13950332,0.083242424,0.087885715,0.05296604,0.0661353,0.19904074,0.06283614,0.045614783,0.05262544,19
0.0021429972,0.0013315976,0.0017154291,0.0024517232,0.0010517415,0.0020919233,0.001399124,9.207589E-4,0.004437865,7.292829E-4,0.0010666639,9.0735545E-4,0.10584551,0.0657694,0.084727354,0.12109391,0.05194693,0.10332291,0.06910462,0.045477517,0.21919213,0.036020264,0.05268396,0.044815507,20
0.0018964574,0.0013169905,0.001149839,0.0017592951,0.0011335695,0.0014717734,9.3443575E-4,0.0012934753,0.003611365,0.0012730433,0.0010724996,9.301671E-4,0.106286325,0.07381029,0.064442344,0.098599106,0.06353052,0.08248505,0.05237014,0.07249239,0.20239775,0.07134729,0.060107883,0.052130908,21
0.00248692,0.001491413,0.001161713,0.0023052343,9.432624E-4,0.0015708043,0.0013177635,0.0012998265,0.00475656,0.0015704246,0.0014997814,9.6107484E-4,0.1164028,0.06980709,0.054375153,0.10789882,0.04415035,0.07352308,0.061679248,0.06083969,0.2226356,0.07350531,0.07019878,0.044984076,22
0.0020592618,0.0015708954,0.0013162162,0.002825563,0.0012428939,0.0016701852,9.586308E-4,0.0014977334,0.0052865446,0.0013562377,0.0019153557,0.0014173688,0.089080416,0.06795446,0.056937434,0.1222294,0.05376563,0.07224958,0.041468855,0.064789586,0.22868755,0.058668703,0.08285526,0.061313134,23
0.0021492424,0.0011748468,0.0010113254,0.0030866587,9.5623086E-4,0.0018215068,0.0011949004,0.0013345071,0.003959241,0.0010753379,0.001164826,9.3102874E-4,0.10822155,0.059157472,0.050923623,0.15542361,0.048149426,0.091718964,0.060167238,0.067196906,0.19936104,0.054146864,0.05865289,0.046880417,24
0.0017299248,0.0012493705,0.0011642851,0.0026668985,0.0011298214,0.0022516083,9.987458E-4,0.0013094036,0.0033028556,0.001297729,0.0010964341,0.0011431297,0.08944707,0.06459965,0.06020024,0.137894,0.05841827,0.11642111,0.05164091,0.0677037,0.17077665,0.06710006,0.056691952,0.05910638,25
0.001978121,0.0012719848,0.001391971,0.003324278,0.0011300591,0.0019039885,0.0013598539,0.0011685467,0.0032620805,0.0012934526,0.001502515,0.0014245983,0.09414491,0.060537696,0.066248216,0.15821269,0.053783014,0.09061671,0.06471966,0.05561476,0.15525252,0.06155942,0.071509354,0.06780105,26
0.0016406958,9.135103E-4,0.0010503145,0.003427849,0.0015020242,0.002188247,0.0015333812,0.0014424918,0.0035889184,8.810318E-4,0.0013688301,0.0012348294,0.07898547,0.043977704,0.050563656,0.1650216,0.07230961,0.10534536,0.07381918,0.069443636,0.17277572,0.042414144,0.06589746,0.059446473,27
0.0016816573,0.0015329596,0.0016038798,0.0029484145,9.909401E-4,0.0022621101,0.0012450509,0.0014221937,0.0037807338,7.448646E-4,9.933107E-4,8.651197E-4,0.083784446,0.07637595,0.07990938,0.14689752,0.04937116,0.11270408,0.0620316,0.07085731,0.18836577,0.037111048,0.049489267,0.043102466,28
0.0018710616,0.0018327818,0.001334419,0.003063227,0.0013228016,0.0018044602,0.0010002649,0.001196009,0.0049913977,0.0011759399,0.0011914113,0.0012954908,0.084742926,0.08300919,0.060437653,0.13873772,0.059911486,0.08172646,0.045303363,0.054168876,0.22606722,0.053259924,0.05396064,0.05867454,29
0.0022990038,0.001247971,0.0013302038,0.0035929913,0.001563043,0.0014582028,0.0012808102,0.0011019545,0.0059198695,0.0012600551,9.776052E-4,9.394694E-4,0.1000821,0.054327685,0.05790751,0.156413,0.06804366,0.06347967,0.055757266,0.047971174,0.25770855,0.054853737,0.042557903,0.040897742,30
0.001737358,0.0014765621,0.0014378045,0.0029349294,0.00128697,0.0015583024,0.0015783287,0.0015685522,0.00397677,0.0013631532,0.0011362853,0.0012600649,0.0815084,0.06927312,0.0674548,0.13769263,0.060378376,0.07310797,0.07404751,0.07358885,0.18657072,0.06395253,0.05330898,0.059116125,31
0.0016442959,0.0010713795,0.0013560341,0.0028588665,9.894742E-4,0.0016234763,0.0011265129,0.0013118412,0.0034176304,0.0011277724,0.0016113201,9.5617515E-4,0.08611233,0.05610851,0.07101596,0.1497198,0.0518191,0.085022,0.058995858,0.068701565,0.17898247,0.059061818,0.08438538,0.050075214,32
0.0025696866,0.0012781321,0.001254762,0.003126082,0.0010120318,0.0023082728,6.658381E-4,0.0011731372,0.0038685075,0.001030486,8.002574E-4,0.0012858661,0.12613161,0.062736385,0.06158928,0.15344195,0.049675003,0.11330026,0.03268228,0.05758277,0.18988349,0.050580814,0.039280176,0.06311601,33
0.0022680922,0.0014023067,0.0013421029,0.0030893313,0.0013066481,0.0019741647,0.0012895026,0.0013170965,0.004701591,7.9755636E-4,0.0013854777,0.0013200359,0.10219437,0.06318431,0.060471684,0.13919728,0.058874186,0.08895075,0.058101654,0.05934496,0.21184154,0.035935827,0.062426046,0.0594774,34
0.0017767366,0.0020839544,0.0011407665,0.0027721121,0.0013490978,0.0018383532,9.7455323E-4,0.0015430264,0.003989258,0.0012083225,0.0010023701,8.7244716E-4,0.086455,0.101404056,0.055509057,0.13488941,0.06564634,0.08945323,0.04742121,0.0750828,0.19411504,0.058796294,0.048774768,0.042452786,35
0.0027005856,0.0013394277,0.0012307161,0.003392506,0.0012798157,0.0018667752,0.0012432464,0.00138188,0.0034379174,0.0011579855,0.0012178379,0.0011654388,0.12611231,0.06254877,0.057472143,0.15842369,0.059765004,0.087174915,0.058057286,0.064531215,0.16054434,0.054075763,0.056870755,0.054423813,36
0.0027231963,0.0011994824,0.0011660852,0.0038915738,0.0017644337,0.002456505,0.0011852835,0.0012522046,0.004695674,8.605923E-4,0.0015575264,0.0013412766,0.113024615,0.04978379,0.048397664,0.16151741,0.07323176,0.10195576,0.049194477,0.051971994,0.19489111,0.035718363,0.064644195,0.055668876,37
0.0015220954,0.0013781441,0.0012923615,0.0034975174,0.0013768243,0.0016558216,0.0015440991,0.0015335702,0.0037633695,0.0014858623,0.0015275483,0.0011897704,0.06992679,0.06331351,0.05937256,0.16067992,0.06325287,0.07607032,0.07093766,0.07045396,0.17289348,0.068262205,0.07017731,0.054659408,38
0.0028647727,0.0012062388,0.0018495875,0.0029175978,0.001376827,0.001605826,9.77863E-4,0.0015672139,0.005922966,9.516354E-4,0.0010130471,0.0013925607,0.12115183,0.051012088,0.078219436,0.12338581,0.058226302,0.067910716,0.041354027,0.0662778,0.25048348,0.04024486,0.04284197,0.05889168,39
