@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
1.5040928E-7,11
8.446865E-6,12
5.7367573E-4,13
0.0011471774,14
0.0016636135,15
0.0016803988,16
0.0014035434,17
7.305729E-4,18
0.0011608589,19
0.0017217371,20
0.0015015581,21
0.0017565864,22
0.001961985,23
0.0012007477,24
9.411165E-4,25
0.0011863918,26
0.0012341774,27
0.0010423393,28
0.0018951887,29
0.0024035592,30
0.0015151284,31
0.0011247243,32
0.0013279375,33
0.0014584378,34
0.0017524367,35
0.0011828678,36
0.0011870043,37
0.0012666944,38
0.001963943,39
0.002803729,40
0.003432416,41
0.0031648192,42
0.006613953,43
0.01306677,44
0.0072794934,45
0.0154023655,46
0.009705912,47
0.020614605,48
0.022194875,49
0.014275918,50
0.029143097,51
0.03477715,52
0.0350247,53
0.035499845,54
0.038642373,55
0.033914153,56
0.040533032,57
0.053906422,58
0.045438446,59
0.041203856,60
0.038325757,61
0.046928898,62
0.059498385,63
0.038724013,64
0.05412102,65
0.061248545,66
0.059809484,67
0.048610605,68
0.06850569,69
0.048151363,70
0.06331266,71
0.079325184,72
0.07493267,73
0.07521026,74
0.060739882,75
0.07362061,76
0.07245075,77
0.09815521,78
0.09959524,79
0.122382164,80
0.08166112,81
0.11848504,82
0.09789779,83
0.12007898,84
0.11356968,85
0.13625479,86
0.14242819,87
0.13749512,88
0.14661333,89
0.11051069,90
0.14594388,91
0.109765105,92
0.16652165,93
0.1364568,94
0.16785659,95
0.15659824,96
0.1514285,97
0.1697247,98
0.15777998,99
0.09838855,100
0.14354287,101
0.10772667,102
0.12508695,103
0.15790913,104
0.11268293,105
0.12739323,106
0.15574366,107
0.12187678,108
0.12633567,109
0.1133536,110
0.12865691,111
0.11185239,112
0.09560884,113
0.13417393,114
0.14832361,115
0.13150318,116
0.12414798,117
0.15391512,118
0.15861899,119
0.13321817,120
0.13704981,121
0.13676055,122
0.14036074,123
0.13307434,124
0.12657866,125
0.106963225,126
0.10387366,127
0.11979706,128
0.10579715,129
0.10192296,130
0.10697823,131
0.1180858,132
0.11666991,133
0.0871104,134
0.089554355,135
0.10931221,136
0.107126884,137
0.09772009,138
0.11946154,139
0.1441912,140
0.1447754,141
0.1213193,142
0.117545106,143
0.12514079,144
0.13107131,145
0.12636565,146
0.115452126,147
0.09272146,148
0.10350774,149
0.14109936,150
0.12557723,151
0.13975951,152
0.16602921,153
0.10093758,154
0.13664433,155
0.14880264,156
0.15299305,157
0.15643468,158
0.14196308,159
0.14474201,160
0.13309209,161
0.11111554,162
0.22128436,163
0.16618848,164
0.15772332,165
0.1581707,166
0.16809857,167
0.094812326,168
0.089863636,169
0.10252301,170
0.09969855,171
0.08064878,172
0.08222396,173
0.083094805,174
0.09929082,175
0.11078401,176
0.11285677,177
0.09470823,178
0.096572146,179
0.11632182,180
0.10121074,181
0.10606941,182
