@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Tone with maximum strength in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
8.0,1
8.0,2
8.0,3
8.0,4
8.0,5
8.0,6
8.0,7
8.0,8
8.0,9
8.0,10
8.0,11
0.0,12
8.0,13
8.0,14
8.0,15
8.0,16
8.0,17
8.0,18
8.0,19
8.0,20
8.0,21
8.0,22
8.0,23
8.0,24
8.0,25
8.0,26
3.0,27
8.0,28
8.0,29
8.0,30
8.0,31
8.0,32
3.0,33
8.0,34
8.0,35
8.0,36
3.0,37
8.0,38
8.0,39
3.0,40
8.0,41
3.0,42
8.0,43
8.0,44
10.0,45
8.0,46
1.0,47
8.0,48
3.0,49
3.0,50
3.0,51
3.0,52
3.0,53
3.0,54
8.0,55
8.0,56
8.0,57
8.0,58
8.0,59
0.0,60
0.0,61
0.0,62
0.0,63
3.0,64
3.0,65
3.0,66
3.0,67
3.0,68
3.0,69
5.0,70
5.0,71
5.0,72
5.0,73
5.0,74
8.0,75
8.0,76
8.0,77
8.0,78
8.0,79
8.0,80
8.0,81
8.0,82
10.0,83
10.0,84
10.0,85
10.0,86
10.0,87
10.0,88
10.0,89
10.0,90
10.0,91
0.0,92
0.0,93
0.0,94
0.0,95
0.0,96
0.0,97
0.0,98
0.0,99
1.0,100
1.0,101
1.0,102
1.0,103
1.0,104
1.0,105
1.0,106
1.0,107
1.0,108
1.0,109
1.0,110
1.0,111
3.0,112
3.0,113
3.0,114
3.0,115
10.0,116
3.0,117
3.0,118
3.0,119
10.0,120
10.0,121
3.0,122
3.0,123
3.0,124
3.0,125
3.0,126
10.0,127
10.0,128
4.0,129
4.0,130
4.0,131
4.0,132
4.0,133
4.0,134
0.0,135
4.0,136
8.0,137
4.0,138
4.0,139
4.0,140
4.0,141
4.0,142
4.0,143
4.0,144
4.0,145
4.0,146
0.0,147
4.0,148
2.0,149
