@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral extent' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
43.066406,1
43.066406,2
43.066406,3
43.066406,4
43.066406,5
43.066406,6
43.066406,7
43.066406,8
43.066406,9
43.066406,10
8570.215,11
7665.8203,12
4521.9727,13
1205.8594,14
990.52734,15
947.46094,16
818.2617,17
1894.9219,18
818.2617,19
904.39453,20
1593.457,21
732.1289,22
602.9297,23
602.9297,24
2024.1211,25
1464.2578,26
1248.9258,27
1033.5938,28
473.73047,29
172.26562,30
1076.6602,31
1205.8594,32
861.3281,33
387.59766,34
1291.9922,35
2024.1211,36
861.3281,37
1335.0586,38
387.59766,39
172.26562,40
215.33203,41
258.39844,42
258.39844,43
301.46484,44
387.59766,45
430.66406,46
473.73047,47
473.73047,48
344.53125,49
602.9297,50
387.59766,51
430.66406,52
430.66406,53
473.73047,54
516.7969,55
559.8633,56
559.8633,57
559.8633,58
602.9297,59
818.2617,60
818.2617,61
689.0625,62
689.0625,63
1162.793,64
732.1289,65
775.1953,66
775.1953,67
861.3281,68
818.2617,69
861.3281,70
861.3281,71
861.3281,72
904.39453,73
947.46094,74
1162.793,75
947.46094,76
1205.8594,77
990.52734,78
473.73047,79
387.59766,80
1636.5234,81
516.7969,82
1119.7266,83
559.8633,84
559.8633,85
559.8633,86
1205.8594,87
1162.793,88
602.9297,89
1248.9258,90
645.9961,91
1507.3242,92
1248.9258,93
1550.3906,94
1248.9258,95
1291.9922,96
1291.9922,97
516.7969,98
473.73047,99
2239.4531,100
1335.0586,101
2282.5195,102
2282.5195,103
1722.6562,104
2368.6523,105
1937.9883,106
1464.2578,107
2411.7188,108
1507.3242,109
2411.7188,110
2454.7852,111
2454.7852,112
2497.8516,113
1894.9219,114
1550.3906,115
2497.8516,116
2540.918,117
2540.918,118
2540.918,119
2583.9844,120
2583.9844,121
2627.0508,122
2583.9844,123
2627.0508,124
2670.1172,125
2670.1172,126
2670.1172,127
2670.1172,128
2670.1172,129
2713.1836,130
2713.1836,131
2713.1836,132
2713.1836,133
2713.1836,134
2756.25,135
2713.1836,136
2756.25,137
2756.25,138
2756.25,139
2756.25,140
2756.25,141
2756.25,142
2756.25,143
2756.25,144
2756.25,145
2756.25,146
2756.25,147
2799.3164,148
3832.9102,149
2799.3164,150
2756.25,151
2756.25,152
2799.3164,153
2799.3164,154
2756.25,155
2756.25,156
2067.1875,157
2756.25,158
2713.1836,159
2368.6523,160
2928.5156,161
2842.3828,162
2670.1172,163
2670.1172,164
2756.25,165
2756.25,166
2670.1172,167
2756.25,168
2756.25,169
2756.25,170
2799.3164,171
2799.3164,172
3273.0469,173
3316.1133,174
3014.6484,175
3875.9766,176
3875.9766,177
3316.1133,178
2799.3164,179
2799.3164,180
2885.4492,181
2799.3164,182
2799.3164,183
2799.3164,184
3316.1133,185
3875.9766,186
3832.9102,187
2454.7852,188
2756.25,189
2756.25,190
2756.25,191
2756.25,192
2799.3164,193
2799.3164,194
2670.1172,195
2670.1172,196
2670.1172,197
2670.1172,198
2627.0508,199
2713.1836,200
2799.3164,201
2885.4492,202
2799.3164,203
2971.582,204
2971.582,205
2756.25,206
2627.0508,207
2885.4492,208
2799.3164,209
2756.25,210
2756.25,211
2196.3867,212
2067.1875,213
2110.254,214
3100.7812,215
2799.3164,216
2756.25,217
2756.25,218
2583.9844,219
1894.9219,220
2756.25,221
2756.25,222
2928.5156,223
3316.1133,224
2756.25,225
2799.3164,226
2756.25,227
3316.1133,228
2928.5156,229
3359.1797,230
3359.1797,231
2885.4492,232
3316.1133,233
3316.1133,234
3316.1133,235
2928.5156,236
2799.3164,237
3316.1133,238
3359.1797,239
2799.3164,240
2799.3164,241
2799.3164,242
3316.1133,243
2928.5156,244
3316.1133,245
3316.1133,246
3316.1133,247
2885.4492,248
2928.5156,249
2670.1172,250
2670.1172,251
2670.1172,252
2670.1172,253
2670.1172,254
2756.25,255
2799.3164,256
2885.4492,257
3919.043,258
3919.043,259
3919.043,260
3919.043,261
3919.043,262
3919.043,263
3316.1133,264
3316.1133,265
3316.1133,266
3316.1133,267
2885.4492,268
2885.4492,269
2799.3164,270
3316.1133,271
2799.3164,272
2756.25,273
2756.25,274
2670.1172,275
2670.1172,276
2670.1172,277
2756.25,278
3273.0469,279
3316.1133,280
3229.9805,281
3273.0469,282
3316.1133,283
3316.1133,284
3316.1133,285
3316.1133,286
2799.3164,287
2799.3164,288
2799.3164,289
3832.9102,290
2885.4492,291
3875.9766,292
2885.4492,293
