@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,43.066406,3.0,1
0.0,43.066406,3.0,2
0.0,43.066406,3.0,3
0.0,43.066406,3.0,4
0.0,43.066406,3.0,5
0.0,43.066406,3.0,6
0.0,43.066406,3.0,7
0.0,43.066406,3.0,8
0.0,43.066406,3.0,9
0.0,43.066406,3.0,10
1.5040928E-7,10981.934,131.0,11
8.446865E-6,861.3281,12.0,12
5.7367573E-4,172.26562,13.0,13
0.0011471774,43.066406,9.0,14
0.0016636135,43.066406,12.0,15
0.0016803988,43.066406,5.0,16
0.0014035434,43.066406,8.0,17
7.305729E-4,43.066406,11.0,18
0.0011608589,43.066406,14.0,19
0.0017217371,43.066406,5.0,20
0.0015015581,43.066406,10.0,21
0.0017565864,43.066406,15.0,22
0.001961985,43.066406,9.0,23
0.0012007477,172.26562,15.0,24
9.411165E-4,43.066406,14.0,25
0.0011863918,172.26562,7.0,26
0.0012341774,129.19922,13.0,27
0.0010423393,43.066406,7.0,28
0.0018951887,43.066406,11.0,29
0.0024035592,43.066406,9.0,30
0.0015151284,43.066406,12.0,31
0.0011247243,43.066406,18.0,32
0.0013279375,129.19922,12.0,33
0.0014584378,43.066406,7.0,34
0.0017524367,43.066406,13.0,35
0.0011828678,43.066406,10.0,36
0.0011870043,129.19922,26.0,37
0.0012666944,43.066406,12.0,38
0.001963943,43.066406,9.0,39
0.002803729,129.19922,12.0,40
0.003432416,172.26562,12.0,41
0.0031648192,129.19922,13.0,42
0.006613953,43.066406,21.0,43
0.01306677,43.066406,8.0,44
0.0072794934,387.59766,255.0,45
0.0154023655,86.13281,6.0,46
0.009705912,473.73047,250.0,47
0.020614605,86.13281,7.0,48
0.022194875,129.19922,8.0,49
0.014275918,129.19922,8.0,50
0.029143097,129.19922,9.0,51
0.03477715,129.19922,9.0,52
0.0350247,129.19922,9.0,53
0.035499845,129.19922,11.0,54
0.038642373,172.26562,10.0,55
0.033914153,172.26562,12.0,56
0.040533032,172.26562,10.0,57
0.053906422,172.26562,12.0,58
0.045438446,172.26562,12.0,59
0.041203856,215.33203,14.0,60
0.038325757,215.33203,13.0,61
0.046928898,215.33203,13.0,62
0.059498385,215.33203,14.0,63
0.038724013,258.39844,15.0,64
0.05412102,258.39844,16.0,65
0.061248545,258.39844,16.0,66
0.059809484,258.39844,18.0,67
0.048610605,258.39844,17.0,68
0.06850569,258.39844,18.0,69
0.048151363,301.46484,18.0,70
0.06331266,301.46484,18.0,71
0.079325184,301.46484,20.0,72
0.07493267,301.46484,19.0,73
0.07521026,301.46484,11.0,74
0.060739882,344.53125,11.0,75
0.07362061,344.53125,21.0,76
0.07245075,344.53125,22.0,77
0.09815521,344.53125,12.0,78
0.09959524,344.53125,12.0,79
0.122382164,344.53125,12.0,80
0.08166112,344.53125,12.0,81
0.11848504,344.53125,24.0,82
0.09789779,387.59766,13.0,83
0.12007898,387.59766,13.0,84
0.11356968,387.59766,13.0,85
0.13625479,387.59766,13.0,86
0.14242819,387.59766,13.0,87
0.13749512,387.59766,14.0,88
0.14661333,387.59766,14.0,89
0.11051069,387.59766,14.0,90
0.14594388,387.59766,14.0,91
0.109765105,430.66406,14.0,92
0.16652165,430.66406,14.0,93
0.1364568,430.66406,14.0,94
0.16785659,430.66406,14.0,95
0.15659824,430.66406,15.0,96
0.1514285,430.66406,15.0,97
0.1697247,430.66406,29.0,98
0.15777998,430.66406,16.0,99
0.09838855,473.73047,16.0,100
0.14354287,473.73047,16.0,101
