@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,1
NaN,NaN,NaN,2
NaN,NaN,NaN,3
NaN,NaN,NaN,4
NaN,NaN,NaN,5
NaN,NaN,NaN,6
NaN,NaN,NaN,7
NaN,NaN,NaN,8
NaN,NaN,NaN,9
NaN,NaN,NaN,10
1.3659204E-7,1421.1914,98.0,11
6.898228E-6,344.53125,13.0,12
3.095248E-4,2368.6523,29.0,13
3.6725475E-4,516.7969,9.0,14
4.5251768E-4,990.52734,13.0,15
7.447781E-4,258.39844,7.0,16
3.3505974E-4,818.2617,13.0,17
3.859956E-4,1076.6602,15.0,18
3.109466E-4,2196.3867,24.0,19
7.625768E-4,258.39844,11.0,20
2.6742776E-4,1076.6602,14.0,21
4.5814054E-4,732.1289,6.0,22
4.7831415E-4,430.66406,13.0,23
2.440763E-4,990.52734,13.0,24
3.4388795E-4,689.0625,6.0,25
4.0597175E-4,990.52734,20.0,26
3.4815073E-4,645.9961,6.0,27
3.9800617E-4,344.53125,6.0,28
3.6821867E-4,990.52734,12.0,29
4.9086986E-4,559.8633,12.0,30
3.713172E-4,732.1289,9.0,31
4.081703E-4,990.52734,11.0,32
3.294668E-4,1765.7227,25.0,33
3.9678632E-4,344.53125,7.0,34
3.5943778E-4,990.52734,22.0,35
4.2820576E-4,473.73047,10.0,36
3.0174904E-4,1550.3906,14.0,37
3.2510952E-4,1291.9922,26.0,38
4.9399876E-4,861.3281,12.0,39
3.831366E-4,947.46094,13.0,40
2.617945E-4,559.8633,7.0,41
2.7954983E-4,1636.5234,30.0,42
2.5827764E-4,1291.9922,234.0,43
0.0027540296,387.59766,247.0,44
NaN,NaN,NaN,45
0.010331215,430.66406,249.0,46
0.0066242577,86.13281,5.0,47
0.0123562105,516.7969,10.0,48
0.010497705,559.8633,247.0,49
0.011548802,387.59766,247.0,50
0.01304813,645.9961,10.0,51
