@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,1
NaN,NaN,NaN,2
NaN,NaN,NaN,3
NaN,NaN,NaN,4
NaN,NaN,NaN,5
NaN,NaN,NaN,6
NaN,NaN,NaN,7
NaN,NaN,NaN,8
NaN,NaN,NaN,9
NaN,NaN,NaN,10
1.2690573E-7,5167.9688,26.0,11
6.8517725E-6,2368.6523,13.0,12
3.0924537E-4,602.9297,11.0,13
2.7482488E-4,1076.6602,16.0,14
2.7155754E-4,2282.5195,15.0,15
3.7170385E-4,990.52734,14.0,16
2.4383506E-4,430.66406,2.0,17
3.800056E-4,516.7969,4.0,18
2.3828854E-4,818.2617,13.0,19
4.1364352E-4,990.52734,20.0,20
2.3218605E-4,473.73047,6.0,21
3.8066992E-4,990.52734,8.0,22
4.1022024E-4,990.52734,4.0,23
2.2667144E-4,1550.3906,19.0,24
2.6259336E-4,3100.7812,23.0,25
3.003668E-4,1636.5234,24.0,26
2.716333E-4,1162.793,30.0,27
3.6092557E-4,689.0625,10.0,28
3.2107104E-4,516.7969,5.0,29
2.7140425E-4,2153.3203,13.0,30
3.3488538E-4,990.52734,10.0,31
1.7975975E-4,1722.6562,11.0,32
1.873156E-4,990.52734,16.0,33
3.7774676E-4,861.3281,12.0,34
2.8212753E-4,2196.3867,17.0,35
2.9691635E-4,2110.254,20.0,36
2.9498618E-4,1162.793,1.0,37
3.1022058E-4,947.46094,7.0,38
3.6293347E-4,430.66406,5.0,39
2.2587659E-4,1722.6562,17.0,40
2.3241116E-4,990.52734,31.0,41
2.7116906E-4,732.1289,14.0,42
NaN,NaN,NaN,43
NaN,NaN,NaN,44
NaN,NaN,NaN,45
NaN,NaN,NaN,46
NaN,NaN,NaN,47
0.0016797219,775.1953,238.0,48
NaN,NaN,NaN,49
NaN,NaN,NaN,50
0.0028291305,904.39453,236.0,51
0.0024605482,990.52734,233.0,52
