@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,1
NaN,NaN,NaN,2
NaN,NaN,NaN,3
NaN,NaN,NaN,4
NaN,NaN,NaN,5
NaN,NaN,NaN,6
NaN,NaN,NaN,7
NaN,NaN,NaN,8
NaN,NaN,NaN,9
NaN,NaN,NaN,10
NaN,NaN,NaN,11
6.155569E-6,2713.1836,20.0,12
1.9064696E-4,1550.3906,12.0,13
1.9157896E-4,3186.914,18.0,14
2.1899358E-4,1335.0586,16.0,15
2.4152541E-4,1593.457,16.0,16
1.7502623E-4,2282.5195,33.0,17
2.0298972E-4,732.1289,5.0,18
1.4291692E-4,4952.6367,53.0,19
1.6425116E-4,4952.6367,128.0,20
1.9530993E-4,732.1289,1.0,21
1.4345521E-4,7493.5547,109.0,22
1.8703924E-4,3402.246,179.0,23
1.369547E-4,9560.742,142.0,24
1.8483732E-4,947.46094,6.0,25
1.6416155E-4,5124.9023,63.0,26
1.8518473E-4,2497.8516,10.0,27
1.9950284E-4,1076.6602,5.0,28
2.2702402E-4,1248.9258,5.0,29
2.0019348E-4,1722.6562,6.0,30
1.8664854E-4,1937.9883,10.0,31
1.6841384E-4,2110.254,28.0,32
1.6674717E-4,3962.1094,26.0,33
2.0908508E-4,2454.7852,4.0,34
1.9477215E-4,2583.9844,11.0,35
2.1880065E-4,947.46094,17.0,36
1.8025863E-4,3402.246,40.0,37
1.9600305E-4,2411.7188,11.0,38
2.7640339E-4,1937.9883,216.0,39
1.7461574E-4,3531.4453,56.0,40
NaN,NaN,NaN,41
NaN,NaN,NaN,42
NaN,NaN,NaN,43
NaN,NaN,NaN,44
NaN,NaN,NaN,45
NaN,NaN,NaN,46
NaN,NaN,NaN,47
NaN,NaN,NaN,48
NaN,NaN,NaN,49
NaN,NaN,NaN,50
NaN,NaN,NaN,51
NaN,NaN,NaN,52
NaN,NaN,NaN,53
NaN,NaN,NaN,54
