@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,5
NaN,NaN,NaN,NaN,6
NaN,NaN,NaN,NaN,7
NaN,NaN,NaN,NaN,8
NaN,NaN,NaN,NaN,9
NaN,NaN,NaN,NaN,10
0.274597,0.2822764,0.21446557,0.22066167,11
0.45207703,0.18460377,0.19989103,0.1555055,12
0.68444,0.152675,0.08796545,0.066861555,13
0.89222425,0.05766687,0.02520122,0.022925112,14
0.92644846,0.04836263,0.013231147,0.010600136,15
0.91584873,0.04824742,0.018883707,0.014717451,16
0.91145426,0.050056607,0.023629932,0.014234621,17
0.87864953,0.051286653,0.046823677,0.022688387,18
0.9069302,0.058806285,0.018745264,0.013930769,19
0.91334826,0.04582801,0.029541671,0.007537442,20
0.87386537,0.06909131,0.040869627,0.014344277,21
0.9233518,0.03467547,0.029102253,0.011715621,22
0.9113153,0.06316657,0.01832336,0.0067837643,23
0.91448367,0.049937524,0.019383097,0.014061746,24
0.8628742,0.09579005,0.027645499,0.013237937,25
0.9007624,0.051439386,0.036753085,0.00876239,26
0.8824792,0.07899225,0.023572404,0.013938708,27
0.90371794,0.04893787,0.032404516,0.012911648,28
0.9317057,0.042483095,0.016649365,0.0067316564,29
0.96433145,0.01991031,0.010146052,0.0049765804,30
0.9014742,0.057350334,0.026958946,0.010659952,31
0.9055728,0.0507394,0.025287045,0.016984662,32
0.90600854,0.06693539,0.018564943,0.007060647,33
0.93652815,0.036092617,0.019887835,0.00705874,34
0.90906584,0.055371627,0.024688227,0.009139431,35
0.90361035,0.04277437,0.035815734,0.015731268,36
0.9270651,0.04119201,0.020401865,0.01022182,37
0.8867133,0.061938725,0.03021352,0.01758581,38
0.96016955,0.021018732,0.011401815,0.0057938443,39
0.96685183,0.021647217,0.006756322,0.004210549,40
0.9781307,0.012226929,0.0068794983,0.0025289694,41
0.9809937,0.010307476,0.0059232195,0.0020775176,42
0.99634874,0.0019030686,0.0012410615,4.0866365E-4,43
0.9987468,6.576128E-4,4.226386E-4,1.1141989E-4,44
0.99679893,0.001677739,7.8415213E-4,6.5030507E-4,45
0.9991389,4.710073E-4,2.1541613E-4,1.3328755E-4,46
0.9984325,9.60423E-4,4.3695993E-4,1.5837373E-4,47
0.99950475,2.471732E-4,1.925906E-4,4.7428777E-5,48
0.9995134,3.1629758E-4,1.19587836E-4,3.9155966E-5,49
0.99916154,4.0966255E-4,2.385181E-4,1.3305982E-4,50
0.9996939,1.563209E-4,8.4133906E-5,5.939851E-5,51
0.9996798,1.7162692E-4,1.1029602E-4,3.5011402E-5,52
0.9997211,1.682326E-4,6.7755784E-5,3.1327767E-5,53
0.99979776,1.1418201E-4,4.819099E-5,3.3846572E-5,54
0.99984056,7.9742276E-5,5.7332083E-5,1.9633697E-5,55
0.99980026,1.2695725E-4,5.434636E-5,1.657136E-5,56
0.99982053,1.09594985E-4,4.8440354E-5,1.6334241E-5,57
0.99987483,6.6928E-5,4.8760656E-5,8.72146E-6,58
0.9998758,7.541713E-5,2.9890298E-5,1.8301625E-5,59
0.9998625,8.094433E-5,3.566588E-5,1.5190943E-5,60
0.999844,9.4388786E-5,4.43259E-5,1.65162E-5,61
0.9999193,4.6041467E-5,2.832513E-5,5.412362E-6,62
0.9999443,2.8977734E-5,2.1368965E-5,4.498601E-6,63
0.9998302,1.16049356E-4,4.1624797E-5,1.0299996E-5,64
0.9999243,4.218865E-5,2.4368475E-5,5.709531E-6,65
0.9999341,4.2362448E-5,1.5943022E-5,4.5791758E-6,66
0.9999404,4.0171297E-5,1.678967E-5,3.4559133E-7,67
0.9999293,3.8505248E-5,2.8071674E-5,1.3253489E-6,68
0.9999597,2.849935E-5,9.047565E-6,2.078092E-6,69
0.9999442,3.8281512E-5,1.2713825E-5,2.8513684E-6,70
0.9999168,5.5320732E-5,2.1765662E-5,3.7494951E-6,71
0.9999617,2.0902198E-5,1.1011134E-5,1.7064535E-6,72
0.9999756,1.5409183E-5,5.378196E-7,3.7306768E-7,73
0.99985516,4.8465114E-5,3.2726116E-6,3.5766084E-6,74
0.999903,8.7291075E-5,4.1649505E-6,3.1660827E-6,75
0.99992466,6.813947E-5,1.038493E-6,1.7182374E-6,76
0.99988395,1.12790876E-4,7.822731E-7,2.0099714E-7,77
0.99986416,1.276551E-4,4.66574E-6,4.5042665E-7,78
0.9998546,1.0755955E-4,3.8000474E-6,8.6789373E-7,79
0.9997161,1.0688347E-4,2.290607E-6,1.6868506E-7,80
0.9989598,7.310918E-4,1.4767153E-7,2.2176247E-8,81
0.999599,3.8233196E-4,1.7925515E-8,4.5055364E-9,82
0.9984735,0.0014799547,1.4168464E-7,8.835657E-9,83
0.9994017,5.278222E-4,1.6718684E-6,7.22834E-9,84
0.99909735,8.675314E-4,3.9263623E-6,9.045484E-9,85
0.9988956,0.0010427013,1.2732103E-6,8.458384E-9,86
0.99936444,5.5247004E-4,1.7649768E-6,3.968879E-9,87
0.99636716,9.911102E-4,3.2763242E-7,2.5893045E-9,88
0.9921038,0.0023455333,1.6803165E-8,2.6577414E-9,89
0.98651373,0.010018555,5.4545364E-9,3.2754124E-9,90
0.99140495,0.008589213,3.1236205E-9,2.6769338E-9,91
0.9852179,0.01445432,1.2352082E-8,5.0219526E-9,92
0.9917005,0.008255256,1.5751413E-8,1.6726227E-9,93
0.98397577,0.015986957,7.5115185E-9,2.0288078E-9,94
0.98687565,0.013119519,9.245774E-9,3.8527053E-9,95
0.9831949,0.016789636,3.0185703E-9,2.4563631E-9,96
0.98500896,0.01498114,6.6579715E-9,4.6078887E-9,97
0.98855877,0.011434398,6.5889063E-9,1.7771623E-9,98
0.9837245,0.016268248,7.988077E-8,2.1399138E-9,99
0.971108,0.02879844,1.5341262E-6,6.1207226E-9,100
0.9846543,0.015282615,1.0501614E-6,3.0518041E-9,101
0.9733628,0.025492163,5.1472693E-7,4.706688E-9,102
0.9672641,0.03155898,1.5864826E-8,4.2684705E-9,103
0.9768964,0.023013828,1.2271373E-8,2.2370805E-9,104
0.97724956,0.022699451,7.5306986E-8,3.3144205E-9,105
0.978737,0.021158118,5.6082405E-7,3.182694E-9,106
0.98072195,0.019243807,1.4838696E-6,2.2483402E-9,107
0.97029585,0.029652758,5.7633315E-7,3.3328242E-9,108
0.973485,0.026494142,3.4032404E-8,2.5787212E-9,109
0.97000945,0.029985238,8.2735704E-7,3.5710874E-9,110
0.96966636,0.03032197,5.575044E-7,1.8647455E-9,111
0.96830755,0.031672463,6.544199E-7,2.6570595E-9,112
0.9468994,0.053081546,9.0256225E-7,3.1688439E-9,113
0.9696337,0.03033845,3.3973108E-6,5.544536E-9,114
0.97333354,0.026633747,3.1165835E-6,9.499346E-9,115
0.9668628,0.033023532,3.637709E-6,5.365729E-9,116
0.96484464,0.03493309,7.748215E-6,2.4990554E-9,117
0.9636037,0.036389653,1.7538688E-6,2.3554632E-9,118
0.96637547,0.033547193,1.239015E-6,2.0415927E-9,119
0.94227195,0.057462983,1.9202903E-6,3.2743641E-9,120
0.9403673,0.058825295,8.152989E-6,2.8658569E-9,121
0.9394333,0.060075283,5.668465E-6,2.1327475E-9,122
0.9461991,0.052717526,5.1852735E-6,2.7159839E-9,123
0.94129384,0.056394823,1.382725E-5,5.6351492E-9,124
0.9383372,0.0597236,1.2435682E-5,4.910819E-9,125
0.9243164,0.07362732,2.5229076E-5,4.5205453E-9,126
