@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral slope' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-0.0,1
-0.0,2
-0.0,3
-0.0,4
-0.0,5
-0.0,6
-0.0,7
-0.0,8
-0.0,9
-0.0,10
7.7820915E-14,11
-1.7018033E-10,12
-1.4650466E-8,13
-1.9756639E-8,14
-2.379211E-8,15
-2.1887395E-8,16
-1.9024421E-8,17
-1.8484704E-8,18
-1.954327E-8,19
-1.9311855E-8,20
-1.5584146E-8,21
-2.0880975E-8,22
-2.4865278E-8,23
-1.979784E-8,24
-1.9016698E-8,25
-2.0851404E-8,26
-2.0073102E-8,27
-1.9429132E-8,28
-2.3568115E-8,29
-2.6587745E-8,30
-2.066735E-8,31
-1.8742796E-8,32
-2.1194158E-8,33
-2.3591241E-8,34
-2.0342677E-8,35
-2.0656337E-8,36
-2.545921E-8,37
-1.9932422E-8,38
-2.7589977E-8,39
-3.012392E-8,40
-3.051238E-8,41
-3.777215E-8,42
-8.116661E-8,43
-1.287305E-7,44
-9.56902E-8,45
-1.6640857E-7,46
-1.462146E-7,47
-2.3197059E-7,48
-2.5475396E-7,49
-2.0122681E-7,50
-3.2394846E-7,51
-3.3562876E-7,52
-3.4801403E-7,53
-4.012523E-7,54
-4.3430498E-7,55
-4.4549319E-7,56
-4.4091465E-7,57
-5.525808E-7,58
-5.3398276E-7,59
-5.4845384E-7,60
-5.027045E-7,61
-6.1717805E-7,62
-6.915619E-7,63
-5.702952E-7,64
-7.375698E-7,65
-7.4336333E-7,66
-7.4317813E-7,67
-6.9921145E-7,68
-8.212354E-7,69
-7.847922E-7,70
-7.861165E-7,71
-8.879479E-7,72
-9.2964734E-7,73
-9.178039E-7,74
-9.5251744E-7,75
-9.673656E-7,76
-1.0493811E-6,77
-1.1011856E-6,78
-1.1788758E-6,79
-1.1791237E-6,80
-1.0664295E-6,81
-1.2405872E-6,82
-1.2501188E-6,83
-1.3802111E-6,84
-1.3613694E-6,85
-1.4760357E-6,86
-1.498554E-6,87
-1.6323135E-6,88
-1.5544284E-6,89
-1.6063282E-6,90
-1.7161722E-6,91
-1.5220631E-6,92
-1.8640185E-6,93
-1.7638566E-6,94
-1.7572092E-6,95
-1.7817887E-6,96
-1.6946505E-6,97
-1.9914255E-6,98
-1.8584415E-6,99
-1.4766806E-6,100
-1.9374863E-6,101
-1.6932529E-6,102
-1.6323327E-6,103
-1.8071233E-6,104
-1.7034835E-6,105
-1.8004769E-6,106
-1.8522852E-6,107
-1.7905397E-6,108
-1.8213689E-6,109
-1.8234928E-6,110
-2.0231057E-6,111
-1.9710985E-6,112
-1.7814758E-6,113
-1.8647331E-6,114
-1.9695215E-6,115
-2.0343152E-6,116
-1.9979295E-6,117
-1.9484962E-6,118
-1.9859906E-6,119
-1.9423137E-6,120
-1.8863708E-6,121
-1.975708E-6,122
-1.9512427E-6,123
-1.7513478E-6,124
-1.8537786E-6,125
-1.7445661E-6,126
-1.7813189E-6,127
-1.7634795E-6,128
-1.7149565E-6,129
-1.7689052E-6,130
