@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,NaN,1
NaN,NaN,2
NaN,NaN,3
NaN,NaN,4
NaN,NaN,5
NaN,NaN,6
NaN,NaN,7
NaN,NaN,8
NaN,NaN,9
NaN,NaN,10
48.9,131.12547,11
2.2914798,3.20877,12
2.9248555,3.6191711,13
5.4827585,9.809522,14
9.54717,22.816385,15
6.623377,12.966529,16
5.9302325,13.756851,17
4.7941175,6.269031,18
6.5657897,11.483782,19
6.657534,15.897979,20
10.408163,21.82857,21
9.145454,17.69686,22
8.516666,16.17868,23
8.637931,16.605669,24
6.5,11.800424,25
6.269231,11.1982975,26
6.375,12.016005,27
6.118421,11.420166,28
15.333333,30.981585,29
12.710526,26.419598,30
7.362319,14.078425,31
5.483871,9.454603,32
5.531646,10.450408,33
7.742424,17.68265,34
6.9054055,14.823438,35
5.730769,9.690959,36
5.5934067,9.390173,37
6.9117646,11.57296,38
9.089286,14.833934,39
6.9859157,15.250484,40
16.933332,26.569323,41
19.653847,23.62844,42
19.423077,29.434639,43
36.42857,51.791775,44
20.75,22.224705,45
30.666666,32.840355,46
22.88889,15.800453,47
21.954546,22.282234,48
30.5,29.94161,49
23.722221,19.699987,50
18.615385,19.899897,51
26.526316,24.622131,52
29.647058,23.52706,53
25.45,22.272123,54
32.0,25.560387,55
22.761906,20.250584,56
20.52174,17.470148,57
21.166666,18.787556,58
18.703703,15.364256,59
18.037037,16.419233,60
23.52381,19.266598,61
20.4,16.334013,62
16.931034,15.422624,63
16.483871,15.282018,64
12.775,10.971525,65
15.90625,15.470454,66
15.272727,12.813991,67
16.758621,13.517945,68
14.5,11.887339,69
18.884615,14.804695,70
16.964285,13.867954,71
21.0,14.413158,72
20.4,14.5684595,73
19.461538,14.507904,74
15.30303,12.852272,75
16.766666,13.630073,76
14.117647,12.263683,77
14.969697,13.122927,78
17.172413,13.431997,79
18.592592,13.115609,80
10.645833,9.837194,81
13.486486,11.967572,82
10.804348,10.053378,83
14.542857,11.230934,84
12.35,10.80405,85
14.514286,11.223372,86
13.0,10.4464445,87
11.55814,9.715254,88
17.0,11.153475,89
13.72973,10.271052,90
16.2,10.517921,91
13.315789,10.177647,92
12.921053,9.652874,93
13.648648,10.813446,94
13.459459,9.705375,95
13.102564,10.215109,96
13.394737,9.54088,97
10.428572,9.606545,98
13.944445,10.458767,99
8.534483,7.6771393,100
11.590909,10.052856,101
10.229167,9.626871,102
8.927273,8.502095,103
10.22,9.7760725,104
9.784314,9.18292,105
10.08,9.260324,106
8.5438595,8.004539,107
7.796875,7.397592,108
7.242857,7.1702476,109
9.107142,8.219486,110
9.2,8.402164,111
9.272727,8.382785,112
8.3,7.394367,113
8.964912,7.597241,114
