@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Discrepancy' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
1.0035306E-15,11
1.9426821E-12,12
4.5640443E-9,13
1.2761896E-8,14
1.8855125E-8,15
1.7190997E-8,16
1.4891511E-8,17
6.411026E-9,18
1.331326E-8,19
1.7657241E-8,20
9.893033E-9,21
1.894805E-8,22
2.0264315E-8,23
1.4707444E-8,24
7.965771E-9,25
1.1577465E-8,26
1.1648036E-8,27
1.0621682E-8,28
2.3809083E-8,29
3.494712E-8,30
1.3528565E-8,31
8.976217E-9,32
1.5445213E-8,33
2.1869276E-8,34
1.5208586E-8,35
9.997955E-9,36
1.7725926E-8,37
1.2969099E-8,38
2.9533556E-8,39
5.3989517E-8,40
8.5735735E-8,41
9.539045E-8,42
4.77511E-7,43
1.5693037E-6,44
5.702642E-7,45
2.200219E-6,46
1.413311E-6,47
4.2887223E-6,48
4.9066152E-6,49
2.5706952E-6,50
7.547639E-6,51
9.173666E-6,52
9.268115E-6,53
1.1923188E-5,54
1.2784854E-5,55
1.1335794E-5,56
1.3461152E-5,57
2.3187975E-5,58
1.8312452E-5,59
1.8296192E-5,60
1.3229284E-5,61
2.2368724E-5,62
3.1471096E-5,63
1.7089622E-5,64
3.30508E-5,65
3.2134547E-5,66
3.4283494E-5,67
2.6085307E-5,68
4.4511464E-5,69
3.2652235E-5,70
3.540473E-5,71
5.4655142E-5,72
4.9295682E-5,73
4.7160127E-5,74
4.8179867E-5,75
5.660075E-5,76
6.130186E-5,77
7.748816E-5,78
9.365899E-5,79
1.0553664E-4,80
6.888858E-5,81
1.09525565E-4,82
8.905069E-5,83
1.2326358E-4,84
1.1825659E-4,85
1.4721886E-4,86
1.5280675E-4,87
1.7706814E-4,88
1.7188866E-4,89
1.5656212E-4,90
2.1527115E-4,91
1.2895066E-4,92
2.3633584E-4,93
1.86374E-4,94
2.1407493E-4,95
2.1580208E-4,96
1.864187E-4,97
2.8865787E-4,98
2.3777552E-4,99
1.2843574E-4,100
2.41306E-4,101
1.6004479E-4,102
1.5784502E-4,103
2.2464541E-4,104
1.7596202E-4,105
1.8510516E-4,106
2.1873666E-4,107
1.986067E-4,108
2.0787765E-4,109
1.9581574E-4,110
2.525845E-4,111
2.2475951E-4,112
1.7265756E-4,113
1.9870067E-4,114
2.4043367E-4,115
2.1913493E-4,116
2.0417952E-4,117
2.3129079E-4,118
2.3943231E-4,119
2.2103713E-4,120
1.9938266E-4,121
2.3121442E-4,122
2.1575135E-4,123
1.8980615E-4,124
2.151793E-4,125
1.9617107E-4,126
1.9122162E-4,127
1.9614045E-4,128
1.8631558E-4,129
1.9451807E-4,130
1.7943454E-4,131
1.9264403E-4,132
2.0004589E-4,133
1.500571E-4,134
1.9559012E-4,135
2.0509625E-4,136
2.3568718E-4,137
1.6685737E-4,138
2.298033E-4,139
2.6246175E-4,140
2.2279915E-4,141
1.9984004E-4,142
