@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0154302195,11
0.6770698,12
1.3531554,13
1.5379387,14
1.5227007,15
1.4249637,16
1.4399341,17
1.4203725,18
1.4830236,19
1.5139627,20
1.5236197,21
1.4806808,22
1.5674087,23
1.4027079,24
1.5649198,25
1.5781173,26
1.4291974,27
1.5163461,28
1.5373523,29
1.5566792,30
1.5553308,31
1.49041,32
1.5453854,33
1.487769,34
1.4839776,35
1.4777186,36
1.5116434,37
1.4688087,38
1.5215178,39
1.470551,40
1.5388517,41
1.6185787,42
1.7764516,43
1.8991076,44
1.9350505,45
2.196565,46
2.3146114,47
2.3533278,48
2.3689013,49
2.4415693,50
2.5059433,51
2.549427,52
2.5718899,53
2.5985188,54
2.6278586,55
2.6768453,56
2.7229347,57
2.7201674,58
2.744304,59
2.7880795,60
2.7153754,61
2.7849238,62
2.7832642,63
2.7557461,64
2.7586842,65
2.775895,66
2.7712944,67
2.7613497,68
2.7688503,69
2.7462668,70
2.7193453,71
2.7349787,72
2.7456925,73
2.723029,74
2.7066903,75
2.7209074,76
2.7118406,77
2.7063642,78
2.697191,79
2.666171,80
2.642201,81
2.634198,82
2.59979,83
2.6170154,84
2.6036787,85
2.5968208,86
2.5941663,87
2.5826426,88
2.546314,89
2.5371673,90
2.555981,91
2.5306084,92
2.5410607,93
2.5211082,94
2.5455277,95
2.5437396,96
2.5233762,97
2.53769,98
2.541566,99
2.4857576,100
2.5053375,101
2.4829638,102
2.4602156,103
2.4873898,104
2.4622607,105
2.4568534,106
2.4590533,107
2.434816,108
2.4322243,109
2.4344285,110
2.4225535,111
2.4102178,112
2.3507998,113
2.4040573,114
2.3970811,115
2.3535619,116
2.3924522,117
2.374446,118
2.3734868,119
2.3328977,120
2.3501158,121
2.3363876,122
2.3437831,123
2.3390863,124
2.332337,125
2.311927,126
2.310379,127
2.3382854,128
2.2893555,129
2.305655,130
2.2755132,131
2.2645555,132
2.2736864,133
2.2718835,134
2.3036337,135
2.3053696,136
2.3095236,137
2.2215524,138
2.265111,139
2.243228,140
2.266558,141
2.2149165,142
2.2768903,143
2.2313278,144
2.2550652,145
2.2528193,146
2.204541,147
2.146222,148
2.1670444,149
2.2199936,150
2.223406,151
2.1766663,152
2.2428956,153
2.1590562,154
2.1969805,155
2.1735432,156
2.182319,157
2.1940951,158
2.1960325,159
2.1539671,160
2.2084644,161
2.2095895,162
2.36336,163
2.263506,164
2.2864156,165
2.2926557,166
2.269866,167
2.236043,168
2.2182055,169
2.172277,170
2.1863747,171
2.1551316,172
2.1787934,173
2.1560524,174
2.1646974,175
2.0635705,176
2.0827131,177
2.1047091,178
2.1347563,179
2.1527233,180
2.208779,181
2.15848,182
2.3111744,183
2.2631135,184
2.170456,185
2.0363934,186
2.109059,187
2.1787512,188
2.1840932,189
2.2038488,190
2.2283597,191
2.2065973,192
