@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
1.2258437E-6,11
5.4992306E-5,12
8.640927E-4,13
9.082715E-4,14
8.721925E-4,15
8.7202364E-4,16
8.0197904E-4,17
8.262877E-4,18
8.290883E-4,19
8.7389536E-4,20
8.106187E-4,21
8.3200564E-4,22
8.341419E-4,23
7.799318E-4,24
7.670537E-4,25
8.3453377E-4,26
8.550098E-4,27
8.5080136E-4,28
7.6098874E-4,29
7.99567E-4,30
8.668942E-4,31
7.879808E-4,32
8.1443915E-4,33
8.127652E-4,34
7.9237996E-4,35
8.867765E-4,36
8.994139E-4,37
9.1258367E-4,38
7.834501E-4,39
8.083125E-4,40
8.778554E-4,41
8.9161796E-4,42
9.245157E-4,43
0.0011328978,44
0.0012006562,45
0.0015727631,46
0.0018064359,47
0.0020836238,48
0.002253017,49
0.0026660406,50
0.0031010406,51
0.0035065715,52
0.0036390834,53
0.004181193,54
0.0048242155,55
0.00513732,56
0.0058633112,57
0.0069341194,58
0.006782804,59
0.00805962,60
0.0075647663,61
0.009444756,62
0.0094819125,63
0.010356016,64
0.012724918,65
0.012332793,66
0.011939551,67
0.012863785,68
0.01332732,69
0.013639349,70
0.014312731,71
0.014845442,72
0.01681959,73
0.019247383,74
0.019717067,75
0.019308725,76
0.022631688,77
0.024557503,78
0.024392009,79
0.026075093,80
0.026277881,81
0.02684702,82
0.028282972,83
0.02947787,84
0.032517176,85
0.032532178,86
0.03885913,87
0.03927364,88
0.03768838,89
0.04036571,90
0.041364282,91
0.043061476,92
0.047273427,93
0.051038433,94
0.047145676,95
0.051476773,96
0.048897907,97
0.056015592,98
0.052058253,99
0.04860794,100
0.05437062,101
0.058901995,102
0.05885949,103
0.05931993,104
0.065207,105
0.060746416,106
0.061077952,107
0.06685286,108
0.061924,109
0.06258698,110
0.07461169,111
0.070080504,112
0.07288376,113
0.07342485,114
0.06866899,115
0.07040654,116
0.0751771,117
0.08013442,118
0.07940364,119
0.07988798,120
0.076212965,121
0.08103647,122
0.078642495,123
0.077801056,124
0.08772733,125
0.09030207,126
0.085164875,127
0.084799044,128
0.08266057,129
0.085472606,130
0.081098445,131
0.082692415,132
0.08673955,133
0.08392723,134
0.09240897,135
0.08858603,136
0.10248002,137
0.08647741,138
0.0992541,139
0.10473185,140
0.08653822,141
0.08406292,142
0.086563185,143
0.084096014,144
0.09044536,145
0.09341293,146
0.10544609,147
0.11985587,148
0.14962246,149
0.14118586,150
0.11308707,151
0.103363015,152
0.15110053,153
0.108584136,154
0.10829488,155
0.10464887,156
0.097224526,157
0.10881966,158
0.10488812,159
0.10603591,160
0.14022554,161
0.1409866,162
0.18525659,163
0.14282177,164
0.14606994,165
0.15065795,166
0.14284563,167
0.11193173,168
0.09825774,169
0.10287327,170
0.1101673,171
0.1102358,172
0.111534454,173
0.117715925,174
0.13971137,175
0.14307411,176
