@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Tempo' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
40.0,1
40.0,2
40.0,3
40.0,4
40.0,5
40.0,6
40.0,7
40.0,8
40.0,9
40.0,10
70.0,11
69.0,12
245.0,13
40.0,14
40.0,15
40.0,16
40.0,17
270.0,18
293.0,19
40.0,20
42.0,21
42.0,22
43.0,23
286.0,24
155.0,25
289.0,26
299.0,27
152.0,28
40.0,29
40.0,30
40.0,31
44.0,32
150.0,33
43.0,34
41.0,35
41.0,36
287.0,37
40.0,38
44.0,39
168.0,40
252.0,41
179.0,42
78.0,43
59.0,44
287.0,45
299.0,46
228.0,47
214.0,48
194.0,49
178.0,50
171.0,51
159.0,52
148.0,53
140.0,54
133.0,55
127.0,56
121.0,57
116.0,58
223.0,59
107.0,60
204.0,61
296.0,62
96.0,63
277.0,64
179.0,65
88.0,66
169.0,67
245.0,68
240.0,69
234.0,70
77.0,71
297.0,72
292.0,73
285.0,74
278.0,75
273.0,76
268.0,77
262.0,78
258.0,79
253.0,80
249.0,81
245.0,82
240.0,83
237.0,84
234.0,85
230.0,86
227.0,87
223.0,88
221.0,89
218.0,90
215.0,91
212.0,92
210.0,93
207.0,94
205.0,95
203.0,96
201.0,97
199.0,98
197.0,99
195.0,100
193.0,101
191.0,102
190.0,103
188.0,104
186.0,105
185.0,106
184.0,107
182.0,108
181.0,109
179.0,110
178.0,111
177.0,112
176.0,113
175.0,114
174.0,115
173.0,116
172.0,117
171.0,118
170.0,119
169.0,120
169.0,121
168.0,122
167.0,123
167.0,124
166.0,125
165.0,126
165.0,127
164.0,128
164.0,129
163.0,130
163.0,131
162.0,132
162.0,133
162.0,134
161.0,135
161.0,136
161.0,137
160.0,138
160.0,139
160.0,140
160.0,141
160.0,142
160.0,143
160.0,144
159.0,145
159.0,146
159.0,147
159.0,148
159.0,149
159.0,150
159.0,151
159.0,152
40.0,153
159.0,154
119.0,155
119.0,156
119.0,157
119.0,158
119.0,159
119.0,160
159.0,161
41.0,162
160.0,163
160.0,164
159.0,165
160.0,166
159.0,167
159.0,168
119.0,169
119.0,170
119.0,171
119.0,172
119.0,173
159.0,174
160.0,175
159.0,176
159.0,177
159.0,178
160.0,179
159.0,180
40.0,181
159.0,182
159.0,183
159.0,184
159.0,185
159.0,186
159.0,187
160.0,188
119.0,189
119.0,190
119.0,191
119.0,192
119.0,193
119.0,194
160.0,195
160.0,196
159.0,197
159.0,198
160.0,199
160.0,200
159.0,201
159.0,202
159.0,203
119.0,204
119.0,205
120.0,206
120.0,207
159.0,208
160.0,209
159.0,210
159.0,211
159.0,212
159.0,213
159.0,214
159.0,215
159.0,216
119.0,217
119.0,218
119.0,219
119.0,220
119.0,221
120.0,222
160.0,223
106.0,224
106.0,225
119.0,226
119.0,227
159.0,228
160.0,229
159.0,230
159.0,231
120.0,232
120.0,233
120.0,234
120.0,235
160.0,236
159.0,237
