@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'First periodicity peak in bpm' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
40.0,1
40.0,2
40.0,3
40.0,4
40.0,5
40.0,6
40.0,7
40.0,8
40.0,9
40.0,10
299.0,11
295.0,12
63.0,13
221.0,14
214.0,15
222.0,16
219.0,17
216.0,18
217.0,19
193.0,20
299.0,21
234.0,22
216.0,23
220.0,24
217.0,25
221.0,26
219.0,27
218.0,28
234.0,29
233.0,30
223.0,31
223.0,32
80.0,33
243.0,34
214.0,35
225.0,36
225.0,37
231.0,38
220.0,39
92.0,40
71.0,41
51.0,42
201.0,43
168.0,44
141.0,45
129.0,46
113.0,47
106.0,48
97.0,49
268.0,50
85.0,51
80.0,52
74.0,53
70.0,54
66.0,55
62.0,56
60.0,57
58.0,58
56.0,59
53.0,60
51.0,61
49.0,62
48.0,63
46.0,64
224.0,65
44.0,66
42.0,67
287.0,68
40.0,69
274.0,70
267.0,71
260.0,72
255.0,73
249.0,74
243.0,75
238.0,76
234.0,77
294.0,78
225.0,79
221.0,80
280.0,81
276.0,82
271.0,83
267.0,84
204.0,85
201.0,86
255.0,87
196.0,88
193.0,89
245.0,90
188.0,91
186.0,92
184.0,93
233.0,94
179.0,95
228.0,96
176.0,97
174.0,98
172.0,99
170.0,100
218.0,101
167.0,102
166.0,103
164.0,104
210.0,105
162.0,106
161.0,107
159.0,108
158.0,109
202.0,110
201.0,111
200.0,112
154.0,113
197.0,114
152.0,115
151.0,116
151.0,117
150.0,118
149.0,119
148.0,120
147.0,121
189.0,122
188.0,123
187.0,124
187.0,125
186.0,126
144.0,127
144.0,128
143.0,129
143.0,130
183.0,131
183.0,132
182.0,133
141.0,134
141.0,135
181.0,136
181.0,137
141.0,138
140.0,139
140.0,140
180.0,141
140.0,142
299.0,143
299.0,144
179.0,145
179.0,146
292.0,147
290.0,148
299.0,149
139.0,150
187.0,151
299.0,152
91.0,153
140.0,154
139.0,155
140.0,156
140.0,157
140.0,158
219.0,159
140.0,160
298.0,161
139.0,162
139.0,163
180.0,164
139.0,165
139.0,166
139.0,167
299.0,168
139.0,169
219.0,170
282.0,171
219.0,172
140.0,173
283.0,174
178.0,175
179.0,176
293.0,177
293.0,178
140.0,179
68.0,180
230.0,181
131.0,182
290.0,183
187.0,184
243.0,185
179.0,186
179.0,187
185.0,188
186.0,189
139.0,190
194.0,191
140.0,192
195.0,193
195.0,194
139.0,195
139.0,196
139.0,197
180.0,198
139.0,199
299.0,200
179.0,201
185.0,202
136.0,203
138.0,204
137.0,205
253.0,206
136.0,207
293.0,208
134.0,209
293.0,210
185.0,211
184.0,212
295.0,213
299.0,214
248.0,215
186.0,216
140.0,217
140.0,218
140.0,219
140.0,220
140.0,221
137.0,222
140.0,223
291.0,224
291.0,225
292.0,226
219.0,227
180.0,228
299.0,229
299.0,230
140.0,231
140.0,232
137.0,233
220.0,234
138.0,235
293.0,236
