@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Second periodicity peak in bpm' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,1
NaN,2
NaN,3
NaN,4
NaN,5
NaN,6
NaN,7
NaN,8
NaN,9
NaN,10
51.0,11
NaN,12
NaN,13
NaN,14
NaN,15
NaN,16
NaN,17
NaN,18
NaN,19
NaN,20
NaN,21
NaN,22
NaN,23
NaN,24
NaN,25
NaN,26
NaN,27
NaN,28
NaN,29
NaN,30
NaN,31
NaN,32
NaN,33
NaN,34
NaN,35
NaN,36
NaN,37
NaN,38
NaN,39
NaN,40
NaN,41
NaN,42
NaN,43
NaN,44
NaN,45
NaN,46
NaN,47
NaN,48
NaN,49
NaN,50
NaN,51
NaN,52
NaN,53
NaN,54
NaN,55
NaN,56
NaN,57
NaN,58
NaN,59
NaN,60
NaN,61
NaN,62
NaN,63
NaN,64
NaN,65
NaN,66
NaN,67
NaN,68
NaN,69
NaN,70
NaN,71
NaN,72
NaN,73
NaN,74
299.0,75
299.0,76
NaN,77
229.0,78
290.0,79
285.0,80
217.0,81
NaN,82
NaN,83
208.0,84
263.0,85
259.0,86
198.0,87
NaN,88
248.0,89
190.0,90
296.0,91
239.0,92
NaN,93
181.0,94
231.0,95
177.0,96
226.0,97
224.0,98
221.0,99
219.0,100
169.0,101
215.0,102
213.0,103
211.0,104
163.0,105
208.0,106
207.0,107
205.0,108
204.0,109
157.0,110
156.0,111
155.0,112
198.0,113
153.0,114
196.0,115
195.0,116
193.0,117
193.0,118
192.0,119
191.0,120
190.0,121
147.0,122
146.0,123
146.0,124
145.0,125
145.0,126
185.0,127
299.0,128
184.0,129
184.0,130
143.0,131
142.0,132
142.0,133
182.0,134
181.0,135
140.0,136
141.0,137
181.0,138
180.0,139
180.0,140
140.0,141
180.0,142
140.0,143
140.0,144
140.0,145
140.0,146
179.0,147
140.0,148
179.0,149
179.0,150
131.0,151
140.0,152
68.0,153
219.0,154
99.0,155
259.0,156
259.0,157
219.0,158
140.0,159
259.0,160
140.0,161
98.0,162
299.0,163
139.0,164
298.0,165
298.0,166
180.0,167
179.0,168
99.0,169
140.0,170
219.0,171
282.0,172
282.0,173
140.0,174
91.0,175
236.0,176
133.0,177
133.0,178
299.0,179
188.0,180
90.0,181
290.0,182
131.0,183
243.0,184
83.0,185
83.0,186
139.0,187
70.0,188
71.0,189
220.0,190
139.0,191
195.0,192
220.0,193
138.0,194
181.0,195
180.0,196
180.0,197
139.0,198
181.0,199
139.0,200
139.0,201
141.0,202
186.0,203
293.0,204
293.0,205
134.0,206
226.0,207
137.0,208
185.0,209
134.0,210
225.0,211
135.0,212
141.0,213
141.0,214
291.0,215
70.0,216
259.0,217
253.0,218
258.0,219
259.0,220
258.0,221
75.0,222
100.0,223
242.0,224
135.0,225
135.0,226
185.0,227
298.0,228
139.0,229
140.0,230
299.0,231
225.0,232
257.0,233
140.0,234
102.0,235
262.0,236
75.0,237
186.0,238
178.0,239
297.0,240
131.0,241
295.0,242
133.0,243
140.0,244
139.0,245
76.0,246
250.0,247
259.0,248
100.0,249
173.0,250
180.0,251
139.0,252
139.0,253
180.0,254
139.0,255
259.0,256
218.0,257
190.0,258
268.0,259
229.0,260
110.0,261
177.0,262
183.0,263
123.0,264
143.0,265
143.0,266
216.0,267
143.0,268
142.0,269
262.0,270
229.0,271
181.0,272
180.0,273
298.0,274
298.0,275
180.0,276
180.0,277
100.0,278
103.0,279
262.0,280
272.0,281
99.0,282
282.0,283
229.0,284
178.0,285
251.0,286
155.0,287
124.0,288
195.0,289
195.0,290
66.0,291
145.0,292
225.0,293
66.0,294
225.0,295
263.0,296
76.0,297
56.0,298
283.0,299
103.0,300
259.0,301
136.0,302
101.0,303
255.0,304
215.0,305
181.0,306
96.0,307
222.0,308
96.0,309
223.0,310
262.0,311
134.0,312
185.0,313
84.0,314
254.0,315
294.0,316
184.0,317
237.0,318
141.0,319
NaN,320
60.0,321
NaN,322
NaN,323
65.0,324
285.0,325
258.0,326
97.0,327
137.0,328
NaN,329
NaN,330
NaN,331
296.0,332
222.0,333
104.0,334
258.0,335
NaN,336
NaN,337
NaN,338
159.0,339
271.0,340
100.0,341
NaN,342
NaN,343
NaN,344
NaN,345
58.0,346
66.0,347
60.0,348
NaN,349
NaN,350
NaN,351
NaN,352
243.0,353
182.0,354
NaN,355
NaN,356
NaN,357
NaN,358
NaN,359
66.0,360
136.0,361
269.0,362
NaN,363
NaN,364
NaN,365
NaN,366
NaN,367
NaN,368
NaN,369
NaN,370
NaN,371
NaN,372
NaN,373
NaN,374
NaN,375
NaN,376
NaN,377
NaN,378
NaN,379
NaN,380
NaN,381
NaN,382
NaN,383
NaN,384
NaN,385
NaN,386
281.0,387
NaN,388
NaN,389
NaN,390
NaN,391
NaN,392
NaN,393
NaN,394
NaN,395
NaN,396
NaN,397
NaN,398
NaN,399
NaN,400
NaN,401
NaN,402
NaN,403
NaN,404
NaN,405
NaN,406
NaN,407
NaN,408
NaN,409
NaN,410
NaN,411
NaN,412
NaN,413
178.0,414
NaN,415
NaN,416
NaN,417
256.0,418
138.0,419
NaN,420
198.0,421
NaN,422
NaN,423
NaN,424
NaN,425
191.0,426
NaN,427
NaN,428
NaN,429
NaN,430
NaN,431
NaN,432
NaN,433
NaN,434
299.0,435
NaN,436
NaN,437
NaN,438
NaN,439
NaN,440
NaN,441
NaN,442
NaN,443
NaN,444
NaN,445
NaN,446
NaN,447
NaN,448
NaN,449
NaN,450
NaN,451
NaN,452
NaN,453
298.0,454
99.0,455
NaN,456
NaN,457
NaN,458
NaN,459
NaN,460
NaN,461
NaN,462
NaN,463
NaN,464
NaN,465
NaN,466
NaN,467
NaN,468
NaN,469
NaN,470
NaN,471
NaN,472
NaN,473
NaN,474
NaN,475
NaN,476
NaN,477
NaN,478
NaN,479
NaN,480
268.0,481
NaN,482
77.0,483
NaN,484
NaN,485
83.0,486
NaN,487
NaN,488
NaN,489
NaN,490
NaN,491
NaN,492
NaN,493
NaN,494
NaN,495
55.0,496
NaN,497
NaN,498
NaN,499
NaN,500
NaN,501
NaN,502
NaN,503
NaN,504
NaN,505
NaN,506
NaN,507
NaN,508
NaN,509
NaN,510
NaN,511
NaN,512
NaN,513
NaN,514
NaN,515
NaN,516
NaN,517
NaN,518
NaN,519
NaN,520
NaN,521
NaN,522
74.0,523
NaN,524
NaN,525
NaN,526
NaN,527
46.0,528
NaN,529
295.0,530
NaN,531
NaN,532
NaN,533
NaN,534
NaN,535
NaN,536
NaN,537
67.0,538
NaN,539
NaN,540
NaN,541
NaN,542
NaN,543
NaN,544
NaN,545
NaN,546
NaN,547
NaN,548
NaN,549
NaN,550
NaN,551
228.0,552
NaN,553
NaN,554
NaN,555
NaN,556
NaN,557
270.0,558
NaN,559
46.0,560
NaN,561
NaN,562
NaN,563
NaN,564
189.0,565
NaN,566
NaN,567
NaN,568
NaN,569
NaN,570
NaN,571
NaN,572
NaN,573
NaN,574
NaN,575
NaN,576
NaN,577
NaN,578
NaN,579
NaN,580
NaN,581
289.0,582
NaN,583
NaN,584
NaN,585
NaN,586
NaN,587
NaN,588
NaN,589
NaN,590
NaN,591
NaN,592
NaN,593
NaN,594
NaN,595
NaN,596
NaN,597
NaN,598
NaN,599
NaN,600
NaN,601
NaN,602
NaN,603
299.0,604
NaN,605
NaN,606
NaN,607
NaN,608
NaN,609
NaN,610
NaN,611
NaN,612
NaN,613
295.0,614
NaN,615
NaN,616
NaN,617
