@relation jAudio
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC

@DATA
?,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
1.903568098E-13,2.004985432E-5,?,1.591796875E-1,?,?,-3.006732438E2,-7.3648825E0,1.099497594E0,3.784246015E-1,-2.310429976E0,-2.515787408E0,-3.160894458E-1,5.026504959E-1,-1.51146703E0,-1.025388913E0,8.549885753E-2,-1.368951339E-1,1.376430771E0,-9.049773756E-3,-2.254438233E-2,-6.750898892E-2,8.803033133E-2,1.499286006E-2,1.398180019E-2,-4.054017687E-2,1.022908681E-1,-6.567495767E-4,0E0
1.30841932E-12,5.232187929E-5,?,4.23828125E-1,?,?,-2.727693041E2,-8.048210747E0,-1.954688232E0,-5.742712033E-1,1.705580185E0,-1.455909895E0,-1.684325369E0,3.204326159E-1,9.536989962E-1,7.76568766E-1,-8.133666211E-1,-1.346003589E0,-1.971512277E0,8.970099668E-2,-1.191583586E-1,1.895861849E-2,-1.193385927E-2,4.725157886E-2,-1.391279105E-2,9.300898619E-2,8.915176774E-2,-9.556754605E-3,0E0
9.840207106E-13,1.161370157E-4,?,3.623046875E-1,?,?,-2.714551514E2,-9.51720034E0,-1.197107994E0,-2.829070713E0,-2.457324922E0,-4.345464911E0,-2.32203051E0,-3.319092574E-1,1.735533815E0,8.167966769E-1,2.437351029E-1,-3.061113751E-1,4.759534705E-1,-7.293324343E-1,-2.73936372E-1,-6.399525281E-2,-1.282327137E-1,-6.630928857E-2,-1.756200905E-1,-5.586748995E-2,9.160523146E-2,1.387087007E-1,0E0
2.806655296E-5,1.66773871E-1,?,1.015625E-1,?,?,-9.296676588E1,7.691420689E0,9.341146757E0,-7.996601163E-1,9.459394833E-1,-1.401593835E0,1.551611821E0,2.890665908E0,-2.569600639E-1,-2.217413395E0,-1.463122715E0,-1.126443638E0,2.775669406E0,-8.955559917E-1,-4.16433843E-2,-3.965333382E-1,-8.595995602E-2,1.042523744E-1,2.460200028E-1,-1.067434441E-1,8.397123731E-2,1.621964584E-1,0E0
1.712107664E-5,2.947752807E-1,?,4.1015625E-2,?,?,-8.833870156E1,1.185459372E1,6.426210776E0,1.255505462E0,-1.252525846E0,-5.391815007E-1,-1.32508359E-1,5.429612638E-1,-1.433225858E0,-1.031834022E0,-2.2584309E0,-3.013584611E0,1.543421147E0,-9.851772263E-1,4.872927214E-1,3.824291699E-2,1.629752819E-2,8.920669991E-2,6.229933863E-2,-3.361453257E-2,3.3359638E-2,9.619821136E-2,0E0
1.184715903E-5,2.021776725E-1,?,6.4453125E-2,?,?,-9.455021713E1,1.48536243E1,5.056751959E0,-9.839154647E-1,-1.080687723E0,-2.287179389E-1,-1.018017645E0,-1.679343791E0,-1.075491307E0,2.782235344E-1,-2.099184506E-1,-2.699390275E0,-8.414062655E-1,-9.866583623E-1,6.82999738E-1,-1.060994093E-1,6.345647681E-2,2.872166199E-1,1.191619643E-1,-7.13141455E-2,1.8868091E-1,1.900580837E-2,0E0
9.42096853E-6,2.324906063E-1,?,4.4921875E-2,?,?,-9.541091011E1,1.446665001E1,2.999476197E0,-1.077521775E-1,-3.558466321E0,-2.106629028E0,-3.810166748E0,-1.864186811E0,-1.000465308E0,-2.450803975E-1,-1.54207016E0,-2.045022953E0,-1.054086502E-1,-9.886771886E-1,6.668471E-1,6.761770803E-3,1.810784155E-2,1.423514317E-1,2.749881111E-1,-1.445342107E-2,3.914652958E-2,-1.046076711E-2,0E0
1.997606427E-5,2.663914654E-1,?,4.296875E-2,?,?,-9.411089301E1,1.857327494E1,4.387327578E0,2.586919558E0,-1.812904981E0,-1.213905825E0,-2.203895196E0,6.916178105E-1,-1.097123016E0,-3.139868577E-1,-2.117276844E0,-1.182513406E0,-6.944568711E-1,-9.920433521E-1,7.001615132E-1,3.915094263E-2,1.115466679E-1,8.874754291E-2,1.551411563E-1,9.429653399E-2,5.021214266E-2,-4.739026371E-2,0E0
1.844129324E-5,2.631122106E-1,?,3.125E-2,?,?,-9.963300488E1,1.607138511E1,5.666724255E0,2.216339049E0,-2.036892838E0,-1.302085298E0,-1.838267264E0,3.002602476E-1,8.081952914E-1,-7.994161581E-1,-3.001854552E0,-1.202327912E0,1.258014532E0,-9.929016169E-1,7.767006709E-1,-1.549210187E-1,1.472031222E-1,1.568971986E-1,2.356793437E-1,4.225756752E-2,4.246640859E-2,5.084602024E-2,0E0
1.046720871E-5,2.130967402E-1,?,4.296875E-2,?,?,-1.015151538E2,1.34045017E1,1.481280997E-1,1.525916021E-1,-2.86675334E0,-5.030769363E-1,-2.474471455E0,-1.139183322E0,-1.114129186E0,-2.382717412E0,-2.099991326E0,5.960277299E-1,1.987794624E-1,-9.887519868E-1,6.813964058E-1,9.772653676E-2,-1.963319775E-3,1.631345505E-1,1.875936277E-1,1.10955931E-1,1.6326351E-2,-2.089776065E-2,0E0
1.023356365E-5,2.124366355E-1,?,5.2734375E-2,?,?,-9.713637914E1,1.664755833E1,2.069800798E0,1.725703309E0,-1.897282365E0,-7.001333754E-1,-2.963724402E0,-1.306507703E0,-1.903457628E-1,-2.9202071E-1,-2.295052391E0,-9.726979811E-1,4.450956159E-1,-9.901691603E-1,6.842509563E-1,7.767358356E-2,5.301458887E-2,8.223292786E-4,5.332522628E-2,1.20669553E-1,1.538038349E-2,3.807287483E-2,0E0
3.209351559E-6,2.323454541E-1,?,3.515625E-2,?,?,-1.010167363E2,1.851365364E1,2.192535587E0,3.708491529E0,-9.118771026E-1,-7.969344984E-1,-2.601958244E0,-2.035497795E0,-2.641292381E-1,1.125912418E-1,-2.926853644E0,-2.961164787E0,1.457150631E0,-9.913511583E-1,5.968688983E-1,1.938686127E-1,5.638117873E-2,2.832527924E-2,4.876349626E-2,7.726130776E-2,9.902806297E-2,4.204296628E-2,0E0
6.927417726E-6,2.126294493E-1,?,4.1015625E-2,?,?,-1.018217664E2,1.794246132E1,2.367385234E0,7.543076654E-1,-3.252722264E-1,-2.354245307E0,-9.060107795E-1,4.685164445E-2,-2.221779982E0,-1.090087333E0,-1.439057625E0,-4.598286915E-1,4.622471094E-1,-9.890524604E-1,6.029828115E-1,2.190596154E-1,8.032694195E-2,7.094164594E-2,8.363500623E-2,6.149221258E-2,5.395191199E-2,1.847970137E-2,0E0
3.388021226E-6,1.662012158E-1,?,1.15234375E-1,?,?,-9.842959326E1,1.138801695E1,3.66559784E0,4.611920462E-1,-1.285619702E0,-2.29958199E0,-4.907334166E-1,-9.895337541E-1,-2.955984993E0,-2.022898179E0,-2.123676034E0,-1.894205776E0,1.079008538E0,-9.586951884E-1,-6.865388502E-3,-1.739268091E-1,5.824819692E-1,-2.154627614E-1,2.267042619E-1,2.60344141E-2,4.770115062E-2,8.118692199E-2,0E0
5.752216701E-6,1.980759738E-1,?,8.0078125E-2,?,?,-9.660669401E1,1.531298459E1,3.18152324E0,-2.018099259E-1,-3.997656093E0,-1.025108858E0,-2.542433483E0,-1.343257747E0,-5.11800302E-1,-1.235453702E-1,-2.104609724E0,-2.161725123E0,1.314724766E-3,-9.791601107E-1,2.622580072E-1,-3.231998001E-2,5.651937637E-1,-2.640702232E-1,3.019968217E-1,4.942250871E-2,1.024410021E-1,1.631132122E-1,0E0
3.449116108E-6,2.007065686E-1,?,5.6640625E-2,?,?,-9.898904709E1,1.711434479E1,3.90224161E0,9.298087413E-1,-2.217384672E0,4.501817486E-1,-2.407775689E0,-1.419532474E0,-4.743995565E-1,1.751489762E-1,-5.935396795E-1,-1.324869464E0,-1.18509995E0,-9.869187668E-1,4.710826805E-1,1.311484597E-1,1.439888772E-1,5.032705917E-3,1.078164652E-1,1.61623348E-1,4.998464519E-2,4.487970249E-2,0E0
3.138084009E-6,2.131719655E-1,?,3.125E-2,?,?,-1.011867799E2,1.791681945E1,4.01948977E-1,2.962736705E0,-3.503950014E0,-7.766818163E-1,-3.701505798E0,2.924430956E-1,-2.195910642E0,1.166139802E-2,-3.886534155E-2,-1.84426159E0,4.911347217E-2,-9.84045912E-1,4.136048199E-1,1.723554302E-1,6.449638743E-2,1.94960792E-2,5.732584776E-2,1.288094988E-1,6.805112815E-2,2.333135618E-2,0E0
3.27302089E-6,1.965913458E-1,?,5.46875E-2,?,?,-1.013258397E2,1.575526789E1,6.130266982E-1,4.796041091E0,-4.806034173E-1,-1.272156506E0,-3.494151917E0,-5.175515846E-1,-2.003599006E0,4.674689787E-2,1.450935126E0,-6.415531121E-1,-1.109747729E0,-9.837238045E-1,5.317397416E-1,1.550301724E-1,-3.808403573E-2,-2.068925669E-2,9.969779232E-3,6.055543648E-2,1.329003691E-2,1.714792667E-2,0E0
6.768667354E-6,2.132244025E-1,?,3.3203125E-2,?,?,-1.036444159E2,1.655360601E1,2.743736391E0,5.998878568E0,-1.118656645E0,7.951100165E-1,-3.133331693E0,-3.292597472E0,-1.496702369E0,-7.153408671E-1,-1.649032894E0,4.331095481E-1,-1.280652304E0,-9.890652448E-1,5.211256411E-1,1.958963628E-1,3.245897838E-2,3.829048875E-3,5.978700551E-2,1.272572645E-1,1.218967722E-1,4.793348485E-2,0E0
2.594198266E-6,2.225292852E-1,?,3.515625E-2,?,?,-1.052473204E2,1.771898052E1,3.478125366E0,3.13703317E0,-1.626378059E0,-7.853572029E-2,-3.951631792E0,-1.24218681E0,-4.147269403E-1,-2.832290286E0,-7.067606223E-1,4.728562922E-1,-7.116151014E-1,-9.893308483E-1,4.826334516E-1,2.055108407E-1,1.024857428E-1,5.498708169E-2,7.144672032E-2,1.061028185E-1,1.040943266E-1,9.096918672E-2,0E0
5.073571323E-6,2.066401038E-1,?,4.1015625E-2,?,?,-9.959336884E1,1.710993328E1,3.548571942E-1,4.345475062E0,-1.338699586E0,-1.110370442E0,-3.42881412E0,-3.174212486E-1,-2.439248644E0,3.322516032E-1,9.464079038E-1,-1.579152646E-1,-1.493428878E0,-9.890412985E-1,6.983626756E-1,5.857596437E-2,-1.257123739E-1,-6.586660554E-2,4.908178249E-2,1.266157924E-1,9.092882841E-2,3.431411388E-3,0E0
4.249400302E-6,1.970295275E-1,?,3.515625E-2,?,?,-1.038440887E2,2.071983392E1,1.528965519E0,2.237867518E0,-1.305521321E0,-1.047883799E0,-3.946527186E0,-1.20166361E0,-1.397517642E0,-9.471129147E-1,2.601073457E0,-9.339314288E-1,-7.337189346E-1,-9.918165215E-1,7.136071951E-1,1.999289355E-1,5.536798727E-2,-2.5933804E-2,4.451866398E-2,1.369758132E-1,9.334232642E-2,3.832513942E-2,0E0
1.874779119E-6,1.727077456E-1,?,3.90625E-2,?,?,-1.02531053E2,1.866100774E1,1.466005782E0,4.198306655E0,-2.703567774E0,2.484904119E-1,-2.391835793E0,-8.384487142E-1,-1.557922459E0,-2.195818778E-1,1.64406605E0,-9.248602622E-1,-1.003031675E0,-9.901362686E-1,6.754829372E-1,1.097050661E-1,-6.515092667E-3,-5.475265439E-3,8.466237027E-2,1.3513799E-1,4.607612799E-2,2.363690245E-2,0E0
5.337955021E-6,1.51254887E-1,?,6.25E-2,?,?,-1.049648016E2,1.677349088E1,2.896673052E-1,1.419244809E0,-1.01490224E0,-4.692276159E-1,-1.951430583E0,-1.100730837E0,-5.13157747E-1,-4.279199077E-1,-4.614859767E-1,-8.463436817E-1,5.869948249E-1,-9.691833449E-1,-4.268494758E-2,1.821701231E-1,1.92895657E-1,2.16301244E-1,1.729645805E-1,-9.093292911E-2,-1.496444698E-1,2.124365673E-1,0E0
2.523781845E-6,1.519670752E-1,?,8.3984375E-2,?,?,-1.01229885E2,1.086075099E1,3.289804615E-1,1.88600729E0,1.769580771E0,-2.06376029E0,-3.601714583E0,-8.520491653E-1,-7.092841002E-1,-1.402604452E0,-5.233301668E-1,-2.535629047E0,-4.432636562E-1,-9.239782101E-1,-7.593487103E-2,-3.508410818E-1,1.656555596E-1,3.016283298E-1,2.704302627E-1,-3.812276453E-1,-1.766548986E-1,8.671236284E-2,0E0
1.899316993E-6,1.21949081E-1,?,5.6640625E-2,?,?,-1.044437549E2,1.330974824E1,2.08853599E0,2.161057074E0,-1.760495118E0,-2.721226916E0,-2.801141419E0,-5.037573488E-2,5.157252736E-1,8.529223217E-2,-1.174576991E0,-4.235249182E0,1.676045126E0,-9.767649446E-1,6.182419115E-1,-3.580401481E-2,-8.316338445E-2,2.502516497E-2,1.622803584E-1,-2.339779725E-1,5.667748604E-2,1.204610125E-2,0E0
1.366170741E-6,1.189025043E-1,?,6.8359375E-2,?,?,-1.054916825E2,1.4986579E1,1.702803347E0,-3.081217008E-2,-1.424115732E0,-3.623733848E-2,-4.381667959E0,-3.599389986E-1,5.383900491E-1,-3.879732846E-1,-1.374601235E0,1.51078874E-2,3.574265049E-1,-9.77663699E-1,5.128687717E-1,1.334958193E-2,-5.949469123E-2,8.722569721E-2,2.037224667E-1,-6.967674504E-3,5.462647831E-2,1.136799191E-2,0E0
1.975463724E-6,1.080512552E-1,?,5.46875E-2,?,?,-1.090024811E2,1.204124429E1,-4.302323138E-1,3.817727079E-1,-2.269314934E0,-2.750051214E0,-4.422830092E0,-1.355249406E0,-1.792293806E0,-2.016234457E0,1.348640815E0,-8.211144593E-1,2.179749206E-2,-9.751822935E-1,4.98203489E-1,-4.091900045E-3,-2.157892564E-4,1.259473413E-1,1.936708887E-1,3.143141105E-2,6.930843129E-2,3.50764089E-3,0E0
6.014098458E-7,1.261570649E-1,?,6.0546875E-2,?,?,-1.094272593E2,1.361328055E1,-6.393358541E-1,8.417123741E-1,-2.732521873E0,-3.285224947E0,-3.246318223E0,-3.592219383E-1,1.08747644E0,-1.78282439E0,4.70644375E-1,-7.464687367E-1,1.870743956E0,-9.843242523E-1,7.282624814E-1,-3.940736722E-2,7.37490028E-2,1.251324038E-1,2.429469877E-1,-1.068460126E-2,7.869496838E-2,7.101182339E-2,0E0
