@relation jAudio
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC

@DATA
?,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
0E0,0E0,?,0E0,?,?,-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0,0E0
8.492614917E-13,3.009745376E-5,?,1.357421875E-1,?,?,-2.973858195E2,-5.346854745E0,1.967743959E0,8.908841044E-1,1.594599694E0,2.787517894E0,1.52763731E0,-4.503883962E-1,-1.944636178E0,-1.329977458E0,-5.200754804E-2,3.974303598E0,1.192157404E0,-4.698795181E-1,-5.129470939E-1,-4.065572243E-1,-1.00044498E-1,-1.17520644E-1,-1.985536083E-1,-9.162044874E-2,-1.019467077E-2,-9.547573196E-2,0E0
6.012991461E-13,6.189338966E-5,?,1.89453125E-1,?,?,-2.880250109E2,-3.981198829E0,5.088167301E0,-2.765745837E-1,2.568112965E0,-5.416222018E-1,-1.39315202E0,4.996314481E-1,5.764589274E-2,-1.103048351E-2,1.784787588E-2,-1.464384094E0,-2.386682359E-1,-6.396011396E-1,-5.017908469E-1,-5.150476535E-1,-1.584178877E-1,-2.061379663E-1,-1.267700186E-1,-6.051858552E-2,-3.54723356E-2,-1.131896877E-1,0E0
2.87592844E-12,1.18433987E-3,?,1.796875E-1,?,?,-2.660227311E2,5.444312634E0,3.37980137E0,-5.433033743E0,-1.884720612E0,3.553272103E-1,-3.148475538E-1,7.548513569E-1,-1.065085063E0,-3.351389097E-3,5.865347686E-1,-9.100237097E-1,-9.561762184E-1,-9.379617466E-1,-7.808370324E-2,1.010726359E-1,2.612016562E-2,1.014629044E-1,-9.531575527E-4,8.598376229E-2,7.558597442E-2,2.056464648E-2,0E0
4.902103137E-7,3.132321952E-2,?,2.1484375E-2,?,?,-1.947297165E2,2.539110621E1,7.855274315E0,2.660459056E0,8.916614909E0,1.058278197E1,-2.583589748E0,-9.134995033E0,-6.512368968E0,-2.02347669E-1,-5.135945209E-1,-2.26290548E0,-2.298868477E0,-9.957969402E-1,6.381058651E-1,4.028623102E-1,2.229881107E-1,1.330087791E-1,4.330636535E-2,7.213153231E-3,-3.315927094E-2,-2.441401535E-2,0E0
1.415874604E-8,2.8609948E-2,?,1.953125E-2,?,?,-2.042447888E2,2.600128354E1,1.077660597E1,3.176698121E0,9.214407326E0,9.638089497E0,1.783513058E0,-1.08175159E1,-7.379156239E0,-3.283099987E-1,1.180892127E0,-3.913196569E0,-4.733357443E0,-9.960449355E-1,5.275101778E-1,3.629469294E-1,2.579943239E-1,1.643838925E-1,1.273164884E-1,9.716223423E-2,2.977400705E-2,4.787152057E-2,0E0
2.555663004E-8,2.100536157E-2,?,1.953125E-2,?,?,-2.194713806E2,2.636304594E1,1.663921539E1,2.182496141E0,1.096831937E1,1.189195875E1,3.077248107E0,-1.201024757E1,-9.75847736E0,-1.007496695E0,1.17335288E0,-4.301743235E0,-3.480010677E0,-9.961155706E-1,5.009017668E-1,3.899831764E-1,2.849114208E-1,1.686153479E-1,1.408822602E-1,1.270985181E-1,5.554610692E-2,6.223994894E-2,0E0
8.476213216E-8,1.456173811E-2,?,1.953125E-2,?,?,-2.191666598E2,2.494073106E1,1.556478602E1,-1.464581168E0,9.672251218E0,1.213974511E1,3.066984E0,-1.166280718E1,-9.365906455E0,3.067047125E0,-3.400606694E-1,-5.599859605E0,-1.502957457E0,-9.941724269E-1,3.339146374E-1,3.503370217E-1,2.246847448E-1,1.296201077E-1,1.33281253E-1,6.690418501E-2,5.732795403E-2,3.450371381E-2,0E0
3.413010192E-8,7.662932709E-3,?,2.1484375E-2,?,?,-2.235838845E2,2.43721183E1,1.029748582E1,2.975528555E0,6.22689619E0,1.072090065E1,8.447428886E-1,-7.596499325E0,-1.13092762E1,2.04070935E0,-1.660134989E0,-6.612842113E0,-2.268941475E0,-9.945119808E-1,2.065348746E-1,5.29937536E-1,3.768153408E-1,1.126059564E-1,2.041781701E-2,7.055495014E-2,-2.408447991E-3,-6.003089267E-2,0E0
2.172573488E-8,3.59347064E-3,?,3.7109375E-2,?,?,-2.336102716E2,1.965366498E1,1.057420998E1,2.108550473E0,6.413662381E0,1.079218374E1,-1.245430936E0,-8.609097392E0,-1.318478728E1,2.422439622E0,5.553649126E-1,-1.800073983E0,-1.837908035E0,-9.888569032E-1,-3.626584894E-1,3.160255284E-1,6.283186549E-1,2.351311247E-1,1.82756984E-2,1.05631108E-2,9.302202648E-2,-6.746727509E-2,0E0
5.381408103E-8,9.789091002E-3,?,2.1484375E-2,?,?,-2.172227806E2,2.226541155E1,1.28978087E1,1.593072153E0,6.01946652E0,1.039119526E1,3.030868269E0,-5.809685443E0,-5.925762919E0,4.200398737E-1,-2.45870258E0,-4.639070718E0,-4.356491521E0,-9.957906699E-1,3.360603632E-1,5.207635257E-1,4.170928922E-1,6.113776048E-2,1.745273778E-1,1.399141753E-1,-2.86534431E-2,7.533278907E-2,0E0
1.375457848E-7,1.905882319E-2,?,3.515625E-2,?,?,-1.92376286E2,2.954604026E1,2.293804203E0,-3.527347962E0,-9.077708854E0,-2.988751878E0,9.503049507E0,-3.601335071E0,9.703012374E-1,4.670363916E0,-3.0538025E0,-6.458874801E0,-5.194982876E0,-9.896408185E-1,8.531704689E-1,4.93701452E-1,2.375982478E-1,2.965979787E-2,9.271507911E-3,2.271201303E-2,-3.595403372E-2,-3.877419082E-2,0E0
3.59839407E-8,1.737663292E-2,?,4.8828125E-2,?,?,-1.998227325E2,2.846969807E1,8.118605536E0,-9.916110863E0,-9.101291954E0,-1.943784847E0,7.937223573E0,-2.191004148E0,-2.116904118E0,8.287891881E0,-3.118328295E0,-6.833809353E0,-2.637975623E0,-9.883665534E-1,8.758100047E-1,5.250811918E-1,2.183044418E-1,1.087440908E-1,4.323075212E-2,4.833186876E-2,4.676004488E-3,-2.589242868E-2,0E0
6.730000226E-9,1.55064781E-2,?,4.6875E-2,?,?,-2.086054578E2,3.00815984E1,1.000861547E1,-9.878304763E0,-5.423787947E0,-1.946981786E0,1.766270421E0,1.180596514E-1,2.760824966E0,6.380865884E0,1.250828882E0,-9.466090739E0,-6.365156183E0,-9.890272326E-1,9.137884778E-1,6.635679394E-1,3.51716019E-1,-2.359770388E-2,-7.057839287E-2,2.273075652E-2,-8.639051033E-2,-1.003700965E-1,0E0
1.684398337E-8,1.115801012E-2,?,4.6875E-2,?,?,-2.126266142E2,2.889929077E1,1.245738382E1,-8.170145112E0,-5.77321437E0,1.222055518E0,-1.527019744E0,7.694836005E-1,4.652347295E0,6.330139945E0,-3.163797536E0,-8.426026116E0,-6.427694902E0,-9.878998475E-1,7.397570787E-1,5.133469909E-1,3.29786521E-1,1.376491751E-1,1.528096911E-1,5.923299645E-2,4.476387248E-2,-4.181890917E-2,0E0
