@relation jAudio
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC

@DATA
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-1.15E3,-8.526512829E-14,2.842170943E-14,-8.526512829E-14,5.684341886E-14,1.350031198E-13,9.947598301E-14,-8.526512829E-14,1.492139745E-13,-1.563194019E-13,-2.131628207E-14,-4.689582056E-13,8.526512829E-14
-4.565979683E2,-9.514895746E0,5.425177522E-1,-1.328947818E0,-5.638870066E-1,-1.190762748E0,-2.277223349E-1,-1.240287138E-1,-5.135674557E-1,-8.014295642E-1,1.110313192E-1,8.160787746E-2,1.966082177E-1
-3.248868093E2,-1.168102953E1,6.776123235E-1,2.376957086E-1,2.061990056E-1,-2.871995791E0,-3.05954334E-1,-4.573042125E-1,-1.171441346E0,-9.696463872E-1,3.815219311E-1,-4.70402656E-1,-5.04738252E-1
-3.08547234E2,-9.871887083E0,-1.044978259E0,-2.989169749E0,1.236141565E0,4.15873879E-1,-2.608304747E-1,-1.643875614E0,4.008937497E-1,-2.852480237E-1,-1.13695742E0,7.564522257E-1,4.53919415E-1
